term	name
GO:0016838	carbon-oxygen lyase activity, acting on phosphates
GO:0016887	ATP hydrolysis activity
GO:0016888	DNA endonuclease activity, producing 5'-phosphomonoesters
GO:0017108	5'-flap endonuclease activity
GO:0017111	ribonucleoside triphosphate phosphatase activity
GO:0020037	heme binding
GO:0030246	carbohydrate binding
GO:0031177	phosphopantetheine binding
GO:0033204	ribonuclease P RNA binding
GO:0042302	structural constituent of cuticle
GO:0042802	identical protein binding
GO:0046570	methylthioribulose 1-phosphate dehydratase activity
GO:0046873	metal ion transmembrane transporter activity
GO:0047507	deoxynucleoside-phosphate kinase activity, ATP as phosphate donor
GO:0052767	mannosyl-oligosaccharide 1,6-alpha-mannosidase activity
GO:0000139	Golgi membrane
GO:0000172	ribonuclease MRP complex
GO:0005655	nucleolar ribonuclease P complex
GO:0005739	mitochondrion
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment
GO:0005886	plasma membrane
GO:0009523	photosystem II
GO:0009535	chloroplast thylakoid membrane
GO:0009579	thylakoid
GO:0009654	photosystem II oxygen evolving complex
GO:0012505	endomembrane system
GO:0019028	viral capsid
GO:0019029	helical viral capsid
GO:0019030	icosahedral viral capsid
GO:0019898	extrinsic component of membrane
GO:0030430	host cell cytoplasm
GO:0030659	cytoplasmic vesicle membrane
GO:0030681	multimeric ribonuclease P complex
GO:0033644	host cell membrane
GO:0039618	T=pseudo3 icosahedral viral capsid
GO:0042025	host cell nucleus
GO:0043229	intracellular organelle
GO:0044161	host cell cytoplasmic vesicle
GO:0044162	host cell cytoplasmic vesicle membrane
GO:0044172	host cell endoplasmic reticulum-Golgi intermediate compartment
GO:0044220	host cell perinuclear region of cytoplasm
GO:0046798	viral portal complex
GO:0007154	cell communication
GO:0009263	deoxyribonucleotide biosynthetic process
GO:0050794	regulation of cellular process
GO:0004100	chitin synthase activity
GO:0016758	hexosyltransferase activity
GO:0006836	neurotransmitter transport
GO:0019905	syntaxin binding
GO:0006810	transport
GO:0007160	cell-matrix adhesion
GO:0110165	cellular anatomical structure
GO:0042908	xenobiotic transport
GO:0008559	ABC-type xenobiotic transporter activity
GO:0006869	lipid transport
GO:0006897	endocytosis
GO:0005044	scavenger receptor activity
GO:0005319	lipid transporter activity
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
GO:0004252	serine-type endopeptidase activity
GO:0008080	N-acetyltransferase activity
GO:0030162	regulation of proteolysis
GO:0030414	peptidase inhibitor activity
GO:0008021	synaptic vesicle
GO:0007010	cytoskeleton organization
GO:0004714	transmembrane receptor protein tyrosine kinase activity
GO:0031511	Mis6-Sim4 complex
GO:0043531	ADP binding
GO:0005201	extracellular matrix structural constituent
GO:0007155	cell adhesion
GO:0007411	axon guidance
GO:0016192	vesicle-mediated transport
GO:0043167	ion binding
GO:0051536	iron-sulfur cluster binding
GO:0140359	ABC-type transporter activity
GO:0000776	kinetochore
GO:0045893	positive regulation of DNA-templated transcription
GO:0004540	RNA nuclease activity
GO:0140640	catalytic activity, acting on a nucleic acid
GO:0003950	NAD+ poly-ADP-ribosyltransferase activity
GO:0006886	intracellular protein transport
GO:0006887	exocytosis
GO:0031267	small GTPase binding
GO:0045202	synapse
GO:0030054	cell junction
GO:0003839	gamma-glutamylcyclotransferase activity
GO:0070588	calcium ion transmembrane transport
GO:0005262	calcium channel activity
GO:0006027	glycosaminoglycan catabolic process
GO:0005230	extracellular ligand-gated monoatomic ion channel activity
GO:0000413	protein peptidyl-prolyl isomerization
GO:0003755	peptidyl-prolyl cis-trans isomerase activity
GO:0005694	chromosome
GO:0031047	regulatory ncRNA-mediated gene silencing
GO:0002755	MyD88-dependent toll-like receptor signaling pathway
GO:0043123	positive regulation of canonical NF-kappaB signal transduction
GO:0070976	TIR domain binding
GO:0042575	DNA polymerase complex
GO:0002218	activation of innate immune response
GO:0032481	positive regulation of type I interferon production
GO:0006144	purine nucleobase metabolic process
GO:0033971	hydroxyisourate hydrolase activity
GO:0048522	positive regulation of cellular process
GO:0006281	DNA repair
GO:0004497	monooxygenase activity
GO:0071949	FAD binding
GO:0035194	regulatory ncRNA-mediated post-transcriptional gene silencing
GO:0032574	5'-3' RNA helicase activity
GO:0035821	modulation of process of another organism
GO:0090729	toxin activity
GO:0042151	nematocyst
GO:0005085	guanyl-nucleotide exchange factor activity
GO:0042157	lipoprotein metabolic process
GO:0008289	lipid binding
GO:0005929	cilium
GO:0006556	S-adenosylmethionine biosynthetic process
GO:0033151	V(D)J recombination
GO:0061630	ubiquitin protein ligase activity
GO:0000151	ubiquitin ligase complex
GO:0006561	proline biosynthetic process
GO:0004735	pyrroline-5-carboxylate reductase activity
GO:0006913	nucleocytoplasmic transport
GO:0015031	protein transport
GO:0051028	mRNA transport
GO:0017056	structural constituent of nuclear pore
GO:0005643	nuclear pore
GO:0016525	negative regulation of angiogenesis
GO:0005730	nucleolus
GO:0004867	serine-type endopeptidase inhibitor activity
GO:0043086	negative regulation of catalytic activity
GO:0052547	regulation of peptidase activity
GO:0032012	regulation of ARF protein signal transduction
GO:0005543	phospholipid binding
GO:0006796	phosphate-containing compound metabolic process
GO:0044281	small molecule metabolic process
GO:0003953	NAD+ nucleosidase activity
GO:0009058	biosynthetic process
GO:0006396	RNA processing
GO:1990904	ribonucleoprotein complex
GO:0052692	raffinose alpha-galactosidase activity
GO:0006486	protein glycosylation
GO:0006487	protein N-linked glycosylation
GO:0030144	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
GO:0006470	protein dephosphorylation
GO:0006004	fucose metabolic process
GO:0036066	protein O-linked fucosylation
GO:0046922	peptide-O-fucosyltransferase activity
GO:0005622	intracellular anatomical structure
GO:0004180	carboxypeptidase activity
GO:0005741	mitochondrial outer membrane
GO:0030833	regulation of actin filament polymerization
GO:0034314	Arp2/3 complex-mediated actin nucleation
GO:0005885	Arp2/3 protein complex
GO:0002039	p53 binding
GO:0006364	rRNA processing
GO:0032040	small-subunit processome
GO:0051260	protein homooligomerization
GO:0010923	negative regulation of phosphatase activity
GO:0019902	phosphatase binding
GO:0030705	cytoskeleton-dependent intracellular transport
GO:0030030	cell projection organization
GO:0060271	cilium assembly
GO:0045216	cell-cell junction organization
GO:0016874	ligase activity
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0048188	Set1C/COMPASS complex
GO:0015276	ligand-gated monoatomic ion channel activity
GO:0038023	signaling receptor activity
GO:0003910	DNA ligase (ATP) activity
GO:0060072	large conductance calcium-activated potassium channel activity
GO:0004222	metalloendopeptidase activity
GO:0001822	kidney development
GO:0001522	pseudouridine synthesis
GO:0009451	RNA modification
GO:0009982	pseudouridine synthase activity
GO:0016853	isomerase activity
GO:0007052	mitotic spindle organization
GO:0042995	cell projection
GO:0000027	ribosomal large subunit assembly
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0019222	regulation of metabolic process
GO:0008381	mechanosensitive monoatomic ion channel activity
GO:0006506	GPI anchor biosynthetic process
GO:0007040	lysosome organization
GO:0005506	iron ion binding
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0007018	microtubule-based movement
GO:0022857	transmembrane transporter activity
GO:0008198	ferrous iron binding
GO:0051213	dioxygenase activity
GO:0031347	regulation of defense response
GO:0032502	developmental process
GO:0006366	transcription by RNA polymerase II
GO:0006384	transcription initiation at RNA polymerase III promoter
GO:0008376	acetylgalactosaminyltransferase activity
GO:0032580	Golgi cisterna membrane
GO:0008641	ubiquitin-like modifier activating enzyme activity
GO:0043231	intracellular membrane-bounded organelle
GO:0033617	mitochondrial cytochrome c oxidase assembly
GO:0007218	neuropeptide signaling pathway
GO:0004983	neuropeptide Y receptor activity
GO:0003777	microtubule motor activity
GO:0005874	microtubule
GO:0004721	phosphoprotein phosphatase activity
GO:0004415	hyalurononglucosaminidase activity
GO:0031418	L-ascorbic acid binding
GO:0008218	bioluminescence
GO:0065007	biological regulation
GO:0051056	regulation of small GTPase mediated signal transduction
GO:0008235	metalloexopeptidase activity
GO:0008081	phosphoric diester hydrolase activity
GO:0061098	positive regulation of protein tyrosine kinase activity
GO:0019901	protein kinase binding
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0010466	negative regulation of peptidase activity
GO:0004857	enzyme inhibitor activity
GO:0008191	metalloendopeptidase inhibitor activity
GO:0003924	GTPase activity
GO:0008569	minus-end-directed microtubule motor activity
GO:0030286	dynein complex
GO:0071539	protein localization to centrosome
GO:0090222	centrosome-templated microtubule nucleation
GO:0006325	chromatin organization
GO:0015630	microtubule cytoskeleton
GO:0004674	protein serine/threonine kinase activity
GO:0006516	glycoprotein catabolic process
GO:0002020	protease binding
GO:0070513	death domain binding
GO:0070273	phosphatidylinositol-4-phosphate binding
GO:0008146	sulfotransferase activity
GO:0051537	2 iron, 2 sulfur cluster binding
GO:0000175	3'-5'-RNA exonuclease activity
GO:0003712	transcription coregulator activity
GO:0005654	nucleoplasm
GO:0032991	protein-containing complex
GO:0006413	translational initiation
GO:0003743	translation initiation factor activity
GO:0006644	phospholipid metabolic process
GO:0050482	arachidonate secretion
GO:0004623	phospholipase A2 activity
GO:0000245	spliceosomal complex assembly
GO:0006397	mRNA processing
GO:0008380	RNA splicing
GO:0005681	spliceosomal complex
GO:0006139	nucleobase-containing compound metabolic process
GO:0000398	mRNA splicing, via spliceosome
GO:0051179	localization
GO:0046540	U4/U6 x U5 tri-snRNP complex
GO:0004499	N,N-dimethylaniline monooxygenase activity
GO:0050660	flavin adenine dinucleotide binding
GO:0050661	NADP binding
GO:0007219	Notch signaling pathway
GO:0007194	negative regulation of adenylate cyclase activity
GO:0044599	AP-5 adaptor complex
GO:0043138	3'-5' DNA helicase activity
GO:0008219	cell death
GO:0006401	RNA catabolic process
GO:0055087	Ski complex
GO:0008236	serine-type peptidase activity
GO:0000183	rDNA heterochromatin formation
GO:0000792	heterochromatin
GO:0005244	voltage-gated monoatomic ion channel activity
GO:0031012	extracellular matrix
GO:0000381	regulation of alternative mRNA splicing, via spliceosome
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0006862	nucleotide transport
GO:0015884	folic acid transport
GO:0035350	FAD transmembrane transport
GO:0008517	folic acid transmembrane transporter activity
GO:0015230	FAD transmembrane transporter activity
GO:0009922	fatty acid elongase activity
GO:0019836	symbiont-mediated hemolysis of host erythrocyte
GO:0006820	monoatomic anion transport
GO:0030261	chromosome condensation
GO:0005528	FK506 binding
GO:0031072	heat shock protein binding
GO:0005764	lysosome
GO:0005774	vacuolar membrane
GO:0008417	fucosyltransferase activity
GO:0045735	nutrient reservoir activity
GO:0016042	lipid catabolic process
GO:0004435	phosphatidylinositol-4,5-bisphosphate phospholipase C activity
GO:0004525	ribonuclease III activity
GO:0016891	RNA endonuclease activity, producing 5'-phosphomonoesters
GO:0006828	manganese ion transport
GO:0051480	regulation of cytosolic calcium ion concentration
GO:0015279	store-operated calcium channel activity
GO:0070679	inositol 1,4,5 trisphosphate binding
GO:0034703	cation channel complex
GO:0005829	cytosol
GO:0001510	RNA methylation
GO:0004526	ribonuclease P activity
GO:0005795	Golgi stack
GO:0071205	protein localization to juxtaparanode region of axon
GO:0006914	autophagy
GO:0005776	autophagosome
GO:0031410	cytoplasmic vesicle
GO:0008408	3'-5' exonuclease activity
GO:0016755	aminoacyltransferase activity
GO:0042073	intraciliary transport
GO:0045503	dynein light chain binding
GO:0045504	dynein heavy chain binding
GO:0005868	cytoplasmic dynein complex
GO:0015631	tubulin binding
GO:0046982	protein heterodimerization activity
GO:0000786	nucleosome
GO:0006334	nucleosome assembly
GO:0009299	mRNA transcription
GO:0009452	7-methylguanosine RNA capping
GO:0045104	intermediate filament cytoskeleton organization
GO:0008092	cytoskeletal protein binding
GO:0030133	transport vesicle
GO:0008083	growth factor activity
GO:0008654	phospholipid biosynthetic process
GO:0016780	phosphotransferase activity, for other substituted phosphate groups
GO:0048699	generation of neurons
GO:0002098	tRNA wobble uridine modification
GO:0030488	tRNA methylation
GO:0016300	tRNA (uridine) methyltransferase activity
GO:0006596	polyamine biosynthetic process
GO:0006597	spermine biosynthetic process
GO:0016768	spermine synthase activity
GO:0005507	copper ion binding
GO:0042597	periplasmic space
GO:0006814	sodium ion transport
GO:0005272	sodium channel activity
GO:0035725	sodium ion transmembrane transport
GO:0008061	chitin binding
GO:0006048	UDP-N-acetylglucosamine biosynthetic process
GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity
GO:0006974	DNA damage response
GO:0005525	GTP binding
GO:0007420	brain development
GO:0021545	cranial nerve development
GO:0031076	embryonic camera-type eye development
GO:0043066	negative regulation of apoptotic process
GO:0019215	intermediate filament binding
GO:0005882	intermediate filament
GO:0006574	valine catabolic process
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity
GO:0007179	transforming growth factor beta receptor signaling pathway
GO:0005667	transcription regulator complex
GO:0031981	nuclear lumen
GO:0046854	phosphatidylinositol phosphate biosynthetic process
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000150	DNA strand exchange activity
GO:0007229	integrin-mediated signaling pathway
GO:0036065	fucosylation
GO:0043170	macromolecule metabolic process
GO:0061709	reticulophagy
GO:0045132	meiotic chromosome segregation
GO:0000775	chromosome, centromeric region
GO:0006996	organelle organization
GO:0032008	positive regulation of TOR signaling
GO:0032467	positive regulation of cytokinesis
GO:0000922	spindle pole
GO:0005813	centrosome
GO:0004622	lysophospholipase activity
GO:0047372	monoacylglycerol lipase activity
GO:0005789	endoplasmic reticulum membrane
GO:0019752	carboxylic acid metabolic process
GO:0016830	carbon-carbon lyase activity
GO:0030170	pyridoxal phosphate binding
GO:0048583	regulation of response to stimulus
GO:0010569	regulation of double-strand break repair via homologous recombination
GO:0051225	spindle assembly
GO:0070652	HAUS complex
GO:0007098	centrosome cycle
GO:0008643	carbohydrate transport
GO:0015293	symporter activity
GO:0007224	smoothened signaling pathway
GO:0060170	ciliary membrane
GO:0003729	mRNA binding
GO:0035694	mitochondrial protein catabolic process
GO:0000723	telomere maintenance
GO:0031848	protection from non-homologous end joining at telomere
GO:0042162	telomeric DNA binding
GO:0008238	exopeptidase activity
GO:0006400	tRNA modification
GO:0102522	tRNA 4-demethylwyosine alpha-amino-alpha-carboxypropyltransferase activity
GO:0005227	calcium-activated cation channel activity
GO:0016477	cell migration
GO:0030036	actin cytoskeleton organization
GO:0030027	lamellipodium
GO:0006606	protein import into nucleus
GO:0005102	signaling receptor binding
GO:0016405	CoA-ligase activity
GO:0016878	acid-thiol ligase activity
GO:0050789	regulation of biological process
GO:0005761	mitochondrial ribosome
GO:0046599	regulation of centriole replication
GO:0051301	cell division
GO:0031110	regulation of microtubule polymerization or depolymerization
GO:0000077	DNA damage checkpoint signaling
GO:0071479	cellular response to ionizing radiation
GO:0004181	metallocarboxypeptidase activity
GO:0050848	regulation of calcium-mediated signaling
GO:0035381	ATP-gated ion channel activity
GO:0051382	kinetochore assembly
GO:0019237	centromeric DNA binding
GO:0000779	condensed chromosome, centromeric region
GO:0005615	extracellular space
GO:0033209	tumor necrosis factor-mediated signaling pathway
GO:0043122	regulation of canonical NF-kappaB signal transduction
GO:0046330	positive regulation of JNK cascade
GO:0070534	protein K63-linked ubiquitination
GO:0006816	calcium ion transport
GO:0035438	cyclic-di-GMP binding
GO:0005763	mitochondrial small ribosomal subunit
GO:0004521	RNA endonuclease activity
GO:0006376	mRNA splice site recognition
GO:0005685	U1 snRNP
GO:0019538	protein metabolic process
GO:0140096	catalytic activity, acting on a protein
GO:0045017	glycerolipid biosynthetic process
GO:0004144	diacylglycerol O-acyltransferase activity
GO:0019432	triglyceride biosynthetic process
GO:0090090	negative regulation of canonical Wnt signaling pathway
GO:0097730	non-motile cilium
GO:0004965	G protein-coupled GABA receptor activity
GO:0019829	ATPase-coupled monoatomic cation transmembrane transporter activity
GO:0051091	positive regulation of DNA-binding transcription factor activity
GO:0060612	adipose tissue development
GO:0003713	transcription coactivator activity
GO:0003690	double-stranded DNA binding
GO:0035082	axoneme assembly
GO:0060294	cilium movement involved in cell motility
GO:0007624	ultradian rhythm
GO:0009897	external side of plasma membrane
GO:0034508	centromere complex assembly
GO:0007178	cell surface receptor protein serine/threonine kinase signaling pathway
GO:0004675	transmembrane receptor protein serine/threonine kinase activity
GO:0007030	Golgi organization
GO:0043001	Golgi to plasma membrane protein transport
GO:0007585	respiratory gaseous exchange by respiratory system
GO:0009308	amine metabolic process
GO:0008131	primary methylamine oxidase activity
GO:0048038	quinone binding
GO:0034765	regulation of monoatomic ion transmembrane transport
GO:0005249	voltage-gated potassium channel activity
GO:0008076	voltage-gated potassium channel complex
GO:0008097	5S rRNA binding
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
GO:0031929	TOR signaling
GO:0031932	TORC2 complex
GO:0006478	peptidyl-tyrosine sulfation
GO:0008476	protein-tyrosine sulfotransferase activity
GO:0003963	RNA-3'-phosphate cyclase activity
GO:0008610	lipid biosynthetic process
GO:0005179	hormone activity
GO:1990879	CST complex
GO:0015297	antiporter activity
GO:0048856	anatomical structure development
GO:0050528	acyloxyacyl hydrolase activity
GO:0051276	chromosome organization
GO:0015269	calcium-activated potassium channel activity
GO:0016409	palmitoyltransferase activity
GO:0007275	multicellular organism development
GO:0007605	sensory perception of sound
GO:0033036	macromolecule localization
GO:0071705	nitrogen compound transport
GO:0007004	telomere maintenance via telomerase
GO:0005697	telomerase holoenzyme complex
GO:0035235	ionotropic glutamate receptor signaling pathway
GO:0004970	glutamate-gated receptor activity
GO:0031175	neuron projection development
GO:0005516	calmodulin binding
GO:0030507	spectrin binding
GO:0000783	nuclear telomere cap complex
GO:0007267	cell-cell signaling
GO:0016540	protein autoprocessing
GO:0030042	actin filament depolymerization
GO:0046600	negative regulation of centriole replication
GO:0015671	oxygen transport
GO:0005344	oxygen carrier activity
GO:0019825	oxygen binding
GO:0006895	Golgi to endosome transport
GO:0004523	RNA-DNA hybrid ribonuclease activity
GO:0071944	cell periphery
GO:0045292	mRNA cis splicing, via spliceosome
GO:0034647	histone H3K4me/H3K4me2/H3K4me3 demethylase activity
GO:0006979	response to oxidative stress
GO:0098869	cellular oxidant detoxification
GO:0004601	peroxidase activity
GO:0016055	Wnt signaling pathway
GO:0060078	regulation of postsynaptic membrane potential
GO:0042910	xenobiotic transmembrane transporter activity
GO:0006302	double-strand break repair
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0009966	regulation of signal transduction
GO:0090263	positive regulation of canonical Wnt signaling pathway
GO:0006220	pyrimidine nucleotide metabolic process
GO:0004132	dCMP deaminase activity
GO:0007059	chromosome segregation
GO:0000444	MIS12/MIND type complex
GO:0006898	receptor-mediated endocytosis
GO:0048477	oogenesis
GO:0003006	developmental process involved in reproduction
