gene	GO
LOC111318821	GO:0003674,GO:0005488,GO:0005515,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0008589,GO:0009056,GO:0009057,GO:0009966,GO:0009968,GO:0009987,GO:0010646,GO:0010648,GO:0019538,GO:0019899,GO:0019941,GO:0023051,GO:0023057,GO:0030163,GO:0042802,GO:0042826,GO:0043170,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0045879,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0051260,GO:0051603,GO:0065007,GO:0071704,GO:0097602,GO:1901564,GO:1901565,GO:1901575
LOC111318822	GO:0000981,GO:0000982,GO:0001077,GO:0001228,GO:0001775,GO:0002237,GO:0002252,GO:0002376,GO:0002520,GO:0002526,GO:0002682,GO:0002684,GO:0002694,GO:0003674,GO:0003700,GO:0005102,GO:0005154,GO:0005215,GO:0005319,GO:0005488,GO:0005509,GO:0005515,GO:0005548,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005739,GO:0005794,GO:0005829,GO:0005886,GO:0005887,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006575,GO:0006629,GO:0006644,GO:0006650,GO:0006658,GO:0006659,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0006915,GO:0006950,GO:0006952,GO:0006953,GO:0006954,GO:0006955,GO:0007009,GO:0007154,GO:0007165,GO:0007275,GO:0007596,GO:0007599,GO:0008150,GO:0008152,GO:0008219,GO:0008610,GO:0008654,GO:0009058,GO:0009059,GO:0009605,GO:0009607,GO:0009611,GO:0009615,GO:0009617,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010256,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010646,GO:0010647,GO:0010876,GO:0010911,GO:0010912,GO:0010941,GO:0010942,GO:0012501,GO:0012505,GO:0015711,GO:0015748,GO:0015914,GO:0016020,GO:0016021,GO:0016043,GO:0016070,GO:0017121,GO:0017124,GO:0017128,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019637,GO:0019899,GO:0019904,GO:0023051,GO:0023052,GO:0023056,GO:0030097,GO:0030099,GO:0030154,GO:0030168,GO:0031012,GO:0031224,GO:0031226,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031347,GO:0031349,GO:0031974,GO:0031981,GO:0032091,GO:0032496,GO:0032501,GO:0032502,GO:0032774,GO:0032781,GO:0033003,GO:0033036,GO:0033500,GO:0033993,GO:0034097,GO:0034641,GO:0034645,GO:0034654,GO:0035455,GO:0035456,GO:0035556,GO:0042060,GO:0042221,GO:0042398,GO:0042592,GO:0042593,GO:0042609,GO:0042632,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043167,GO:0043169,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043393,GO:0043462,GO:0043900,GO:0043901,GO:0043903,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044271,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045017,GO:0045069,GO:0045071,GO:0045088,GO:0045089,GO:0045121,GO:0045893,GO:0045935,GO:0045944,GO:0046474,GO:0046483,GO:0046486,GO:0046872,GO:0048306,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048525,GO:0048534,GO:0048583,GO:0048584,GO:0048731,GO:0048856,GO:0048869,GO:0048878,GO:0050776,GO:0050778,GO:0050789,GO:0050790,GO:0050792,GO:0050794,GO:0050817,GO:0050865,GO:0050878,GO:0050896,GO:0051098,GO:0051100,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051252,GO:0051254,GO:0051336,GO:0051345,GO:0051607,GO:0051704,GO:0051707,GO:0051716,GO:0055088,GO:0055092,GO:0060255,GO:0060368,GO:0061024,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070782,GO:0070851,GO:0070887,GO:0071216,GO:0071219,GO:0071222,GO:0071310,GO:0071345,GO:0071396,GO:0071702,GO:0071704,GO:0071840,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0090304,GO:0090407,GO:0097035,GO:0097190,GO:0097193,GO:0097194,GO:0097659,GO:0098542,GO:0098589,GO:0098805,GO:0098857,GO:0140110,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901700,GO:1901701,GO:1902229,GO:1902231,GO:1902531,GO:1902533,GO:1902680,GO:1903506,GO:1903508,GO:1903900,GO:1903901,GO:2000112,GO:2000371,GO:2000373,GO:2001020,GO:2001022,GO:2001141,GO:2001233,GO:2001235,GO:2001242,GO:2001244
LOC111318823	GO:0004197,GO:0006508
LOC111318824	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007005,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016043,GO:0016310,GO:0019538,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0036211,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0048878,GO:0055088,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:1901564
LOC111318825	
LOC111318826	
LOC111318827	GO:0002376,GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0004714,GO:0004715,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0008150,GO:0008152,GO:0009898,GO:0009966,GO:0009968,GO:0009987,GO:0010646,GO:0010648,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019538,GO:0019897,GO:0019898,GO:0023051,GO:0023052,GO:0023057,GO:0030154,GO:0031234,GO:0032502,GO:0033674,GO:0036211,GO:0038083,GO:0042127,GO:0043170,GO:0043235,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045087,GO:0046777,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0071944,GO:0098552,GO:0098562,GO:0140096,GO:1901564
LOC111318828	GO:0005515
LOC111318829	
LOC111318830	GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006996,GO:0007030,GO:0007155,GO:0008150,GO:0008152,GO:0008361,GO:0009611,GO:0009987,GO:0010256,GO:0016020,GO:0016021,GO:0016043,GO:0016301,GO:0016310,GO:0016339,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019538,GO:0022610,GO:0031224,GO:0031226,GO:0032535,GO:0036211,GO:0042060,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0045177,GO:0045792,GO:0048518,GO:0048583,GO:0048584,GO:0050789,GO:0050896,GO:0061041,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0071944,GO:0080134,GO:0090066,GO:0090303,GO:0098609,GO:0098742,GO:0140096,GO:1901564,GO:1903034,GO:1903036
LOC111318831	GO:0000166,GO:0002020,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005829,GO:0006508,GO:0006807,GO:0006915,GO:0006919,GO:0006950,GO:0006952,GO:0006996,GO:0007010,GO:0007015,GO:0007165,GO:0007275,GO:0008047,GO:0008144,GO:0008150,GO:0008152,GO:0008154,GO:0008219,GO:0008303,GO:0008361,GO:0008635,GO:0008656,GO:0009605,GO:0009607,GO:0009617,GO:0009653,GO:0009790,GO:0009792,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010604,GO:0010628,GO:0010941,GO:0010942,GO:0010950,GO:0010952,GO:0010954,GO:0012501,GO:0016020,GO:0016043,GO:0016485,GO:0016504,GO:0016505,GO:0017076,GO:0019222,GO:0019538,GO:0019725,GO:0019899,GO:0019904,GO:0022411,GO:0022607,GO:0030029,GO:0030036,GO:0030042,GO:0030155,GO:0030162,GO:0030234,GO:0030554,GO:0031323,GO:0031325,GO:0031638,GO:0031647,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032535,GO:0032553,GO:0032555,GO:0032559,GO:0032984,GO:0032991,GO:0035639,GO:0036094,GO:0040034,GO:0042592,GO:0042742,GO:0042981,GO:0043028,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043085,GO:0043167,GO:0043168,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043280,GO:0043281,GO:0043624,GO:0043933,GO:0044085,GO:0044093,GO:0044238,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0045862,GO:0046716,GO:0048471,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048598,GO:0048856,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050829,GO:0050896,GO:0051094,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051259,GO:0051260,GO:0051261,GO:0051262,GO:0051289,GO:0051336,GO:0051345,GO:0051400,GO:0051432,GO:0051434,GO:0051604,GO:0051704,GO:0051707,GO:0052547,GO:0052548,GO:0060249,GO:0060255,GO:0060548,GO:0061133,GO:0061134,GO:0061135,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070513,GO:0070613,GO:0071704,GO:0071840,GO:0080090,GO:0089720,GO:0090066,GO:0097159,GO:0097202,GO:0097367,GO:0097435,GO:0098542,GO:0098772,GO:1901265,GO:1901363,GO:1901564,GO:1902494,GO:1902742,GO:1903317,GO:1903319,GO:1904747,GO:1904748,GO:1905368,GO:1905369,GO:1905806,GO:1905808,GO:2000116,GO:2001056
LOC111318832	GO:0000226,GO:0001558,GO:0003674,GO:0003824,GO:0004835,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005856,GO:0005874,GO:0005876,GO:0006464,GO:0006807,GO:0006996,GO:0007010,GO:0007017,GO:0007275,GO:0007346,GO:0007399,GO:0008150,GO:0008152,GO:0008361,GO:0009987,GO:0010564,GO:0010769,GO:0010975,GO:0015630,GO:0016043,GO:0016874,GO:0016879,GO:0016881,GO:0018166,GO:0018193,GO:0018212,GO:0018322,GO:0018410,GO:0019538,GO:0022008,GO:0022603,GO:0022604,GO:0030154,GO:0030516,GO:0031344,GO:0032501,GO:0032502,GO:0032535,GO:0032879,GO:0036211,GO:0040008,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043412,GO:0043687,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0045595,GO:0045664,GO:0045787,GO:0045931,GO:0048518,GO:0048522,GO:0048638,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050770,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051239,GO:0051726,GO:0051960,GO:0051983,GO:0060284,GO:0060341,GO:0061387,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0090066,GO:0090235,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0120035,GO:0140096,GO:1901564,GO:2000026
LOC111318833	
LOC111318835	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006325,GO:0006464,GO:0006482,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0008214,GO:0009987,GO:0010468,GO:0016043,GO:0016569,GO:0016570,GO:0016577,GO:0019222,GO:0019538,GO:0032451,GO:0032452,GO:0032453,GO:0034648,GO:0034720,GO:0036211,GO:0040029,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0050789,GO:0051276,GO:0060255,GO:0065007,GO:0070076,GO:0070988,GO:0071704,GO:0071840,GO:0140096,GO:1901564
LOC111318836	
LOC111318837	
LOC111318841	
LOC111318843	GO:0001654,GO:0001667,GO:0001702,GO:0001704,GO:0001707,GO:0001754,GO:0001756,GO:0001917,GO:0003002,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0005902,GO:0005911,GO:0005912,GO:0005913,GO:0006355,GO:0006357,GO:0006928,GO:0007009,GO:0007154,GO:0007163,GO:0007267,GO:0007275,GO:0007369,GO:0007389,GO:0007399,GO:0007423,GO:0007498,GO:0008150,GO:0009653,GO:0009790,GO:0009792,GO:0009887,GO:0009888,GO:0009889,GO:0009892,GO:0009952,GO:0009966,GO:0009967,GO:0009987,GO:0010256,GO:0010466,GO:0010468,GO:0010470,GO:0010556,GO:0010605,GO:0010646,GO:0010647,GO:0010717,GO:0010718,GO:0010951,GO:0014028,GO:0016020,GO:0016043,GO:0016324,GO:0016477,GO:0019219,GO:0019222,GO:0019899,GO:0022008,GO:0022603,GO:0023051,GO:0023052,GO:0023056,GO:0030011,GO:0030054,GO:0030154,GO:0030162,GO:0030182,GO:0030510,GO:0030513,GO:0030903,GO:0031323,GO:0031324,GO:0031326,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032991,GO:0035088,GO:0035090,GO:0035282,GO:0040011,GO:0042074,GO:0042461,GO:0042462,GO:0042995,GO:0043009,GO:0043086,GO:0044092,GO:0044425,GO:0044459,GO:0044464,GO:0045121,GO:0045177,GO:0045197,GO:0045199,GO:0045595,GO:0045597,GO:0045861,GO:0045995,GO:0046530,GO:0048332,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048562,GO:0048568,GO:0048570,GO:0048583,GO:0048584,GO:0048592,GO:0048598,GO:0048646,GO:0048666,GO:0048699,GO:0048729,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0051094,GO:0051171,GO:0051172,GO:0051179,GO:0051239,GO:0051240,GO:0051246,GO:0051248,GO:0051252,GO:0051336,GO:0051346,GO:0051674,GO:0052547,GO:0052548,GO:0055111,GO:0060255,GO:0060429,GO:0061024,GO:0061053,GO:0061245,GO:0065007,GO:0065009,GO:0070161,GO:0071840,GO:0071944,GO:0072358,GO:0072359,GO:0080090,GO:0090092,GO:0090100,GO:0090287,GO:0090596,GO:0097458,GO:0098589,GO:0098590,GO:0098805,GO:0098857,GO:0098858,GO:0120025,GO:1903506,GO:2000026,GO:2000112,GO:2001141
LOC111318845	
LOC111318848	
LOC111318850	GO:0000226,GO:0000902,GO:0000904,GO:0001932,GO:0001934,GO:0002244,GO:0002252,GO:0002376,GO:0002520,GO:0003674,GO:0005085,GO:0005088,GO:0005089,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006582,GO:0006725,GO:0006810,GO:0006897,GO:0006909,GO:0006950,GO:0006952,GO:0006955,GO:0006996,GO:0007010,GO:0007017,GO:0007097,GO:0007163,GO:0007264,GO:0007275,GO:0007399,GO:0007405,GO:0007409,GO:0007417,GO:0007420,GO:0007596,GO:0007599,GO:0008150,GO:0008152,GO:0008283,GO:0008356,GO:0009611,GO:0009653,GO:0009893,GO:0009966,GO:0009987,GO:0010562,GO:0010604,GO:0010646,GO:0014910,GO:0014911,GO:0016043,GO:0016192,GO:0017016,GO:0017048,GO:0017145,GO:0018958,GO:0019220,GO:0019222,GO:0019748,GO:0019899,GO:0021846,GO:0022008,GO:0022027,GO:0023051,GO:0030010,GO:0030030,GO:0030097,GO:0030154,GO:0030182,GO:0030334,GO:0030335,GO:0030424,GO:0030426,GO:0030427,GO:0030900,GO:0031175,GO:0031267,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032879,GO:0032989,GO:0032990,GO:0033135,GO:0033138,GO:0033267,GO:0035006,GO:0035010,GO:0035011,GO:0035023,GO:0036445,GO:0040012,GO:0040017,GO:0042060,GO:0042325,GO:0042327,GO:0042440,GO:0042995,GO:0043005,GO:0043085,GO:0043087,GO:0043473,GO:0043547,GO:0044093,GO:0044237,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0045087,GO:0045165,GO:0045178,GO:0045196,GO:0045200,GO:0045595,GO:0045937,GO:0046578,GO:0046907,GO:0048103,GO:0048365,GO:0048468,GO:0048513,GO:0048518,GO:0048522,GO:0048534,GO:0048583,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050817,GO:0050878,GO:0050896,GO:0051020,GO:0051056,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051246,GO:0051247,GO:0051270,GO:0051272,GO:0051301,GO:0051336,GO:0051345,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051656,GO:0051960,GO:0055057,GO:0055059,GO:0060255,GO:0060284,GO:0060322,GO:0061351,GO:0061564,GO:0065007,GO:0065008,GO:0065009,GO:0071704,GO:0071840,GO:0072089,GO:0080090,GO:0090630,GO:0097458,GO:0098657,GO:0098722,GO:0098772,GO:0120025,GO:0120036,GO:0120038,GO:0120039,GO:0150034,GO:1901360,GO:1901615,GO:1902531,GO:1904752,GO:1904754,GO:2000026,GO:2000145,GO:2000147
