NCBI GeneID	Symbol	Description	Gene Type	Annotation Genomic Range Accession 	SwissProt Accessions
111331272	LOC111331272	carbonic anhydrase 2-like	PROTEIN_CODING	NW_019217952.1	
111339017	LOC111339017	carbonic anhydrase 2-like	PROTEIN_CODING	NW_019218175.1	
111344412	LOC111344412	carbonic anhydrase-like	PROTEIN_CODING	NW_019218521.1	
111318820	LOC111318820	amiloride-sensitive sodium channel subunit beta-like	PROTEIN_CODING	NW_019217784.1	
111318824	LOC111318824	uncharacterized aarF domain-containing protein kinase 1-like	PROTEIN_CODING	NW_019217802.1	
111318851	LOC111318851	lupus La protein homolog	PROTEIN_CODING	NW_019219387.1	
111318859	LOC111318859	uncharacterized LOC111318859	PROTEIN_CODING	NW_019219392.1	
111318891	LOC111318891	cation channel sperm-associated protein subunit epsilon-like	PROTEIN_CODING	NW_019217802.1	
111318906	LOC111318906	uncharacterized LOC111318906	PROTEIN_CODING	NW_019219413.1	
111318914	LOC111318914	cation channel sperm-associated protein subunit epsilon-like	PROTEIN_CODING	NW_019217802.1	
111318943	LOC111318943	hyaluronidase-1-like	PROTEIN_CODING	NW_019219441.1	
111318956	LOC111318956	myosin-4-like	PROTEIN_CODING	NW_019217802.1	
111318974	LOC111318974	uncharacterized LOC111318974	PROTEIN_CODING	NW_019219462.1	
111319000	LOC111319000	collagen alpha-1(III) chain-like	PROTEIN_CODING	NW_019219477.1	
111319018	LOC111319018	RNA-binding protein 25-like	PROTEIN_CODING	NW_019217802.1	
111319023	LOC111319023	uncharacterized LOC111319023	PROTEIN_CODING	NW_019219494.1	
111319028	LOC111319028	adenosine receptor A3-like	PROTEIN_CODING	NW_019219500.1	
111319072	LOC111319072	E3 ubiquitin-protein ligase TRIM71-like	PROTEIN_CODING	NW_019219540.1	
111319073	LOC111319073	protein lin-41-like	PROTEIN_CODING	NW_019219540.1	
111319081	LOC111319081	guanylate-binding protein 2-like	PROTEIN_CODING	NW_019219545.1	
111319089	LOC111319089	uncharacterized LOC111319089	PROTEIN_CODING	NW_019217802.1	
111319090	LOC111319090	uncharacterized LOC111319090	PROTEIN_CODING	NW_019219556.1	
111319143	LOC111319143	manganese-transporting ATPase 13A1-like	PROTEIN_CODING	NW_019219606.1	
111319149	LOC111319149	inositol-tetrakisphosphate 1-kinase-like	PROTEIN_CODING	NW_019217802.1	
111319165	LOC111319165	malate synthase, glyoxysomal-like	PROTEIN_CODING	NW_019219624.1	
111319225	LOC111319225	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta-like	PROTEIN_CODING	NW_019217802.1	
111319228	LOC111319228	ubiquitin carboxyl-terminal hydrolase CYLD-like	PROTEIN_CODING	NW_019219681.1	
111319245	LOC111319245	uncharacterized LOC111319245	PROTEIN_CODING	NW_019219692.1	
111319247	LOC111319247	DDB1- and CUL4-associated factor 4-like	PROTEIN_CODING	NW_019217802.1	
111319252	LOC111319252	cystic fibrosis transmembrane conductance regulator-like	PROTEIN_CODING	NW_019219698.1	
111319278	LOC111319278	BTB/POZ domain-containing protein 6-like	PROTEIN_CODING	NW_019217802.1	
111319279	LOC111319279	polycystic kidney disease protein 1-like 2	PROTEIN_CODING	NW_019219720.1	
111319286	LOC111319286	adhesion G protein-coupled receptor L4-like	PROTEIN_CODING	NW_019219729.1	
111319295	LOC111319295	adhesion G-protein coupled receptor D1-like	PROTEIN_CODING	NW_019219737.1	
111319300	LOC111319300	cofilin-like	PROTEIN_CODING	NW_019217802.1	
111319313	LOC111319313	F-box-like/WD repeat-containing protein TBL1X	PROTEIN_CODING	NW_019219755.1	
111319324	LOC111319324	Fanconi anemia group M protein-like	PROTEIN_CODING	NW_019217802.1	
111319335	LOC111319335	SID1 transmembrane family member 1-like	PROTEIN_CODING	NW_019217802.1	
111319411	LOC111319411	uncharacterized LOC111319411	PROTEIN_CODING	NW_019217802.1	
111319435	LOC111319435	ribosome biogenesis protein BRX1 homolog	PROTEIN_CODING	NW_019219871.1	
111319480	LOC111319480	uncharacterized LOC111319480	PROTEIN_CODING	NW_019217802.1	
111319540	LOC111319540	UTP--glucose-1-phosphate uridylyltransferase-like	PROTEIN_CODING	NW_019217802.1	
111319551	LOC111319551	cleavage and polyadenylation specificity factor subunit 1-like	PROTEIN_CODING	NW_019220029.1	
111319565	LOC111319565	extracellular calcium-sensing receptor-like	PROTEIN_CODING	NW_019220047.1	
111319609	LOC111319609	ankyrin-1-like	PROTEIN_CODING	NW_019220117.1	
111319649	LOC111319649	sodium channel protein 60E-like	PROTEIN_CODING	NW_019217802.1	
111319722	LOC111319722	uncharacterized LOC111319722	PROTEIN_CODING	NW_019217802.1	
111319758	LOC111319758	exosome component 10-like	PROTEIN_CODING	NW_019220375.1	
111319765	LOC111319765	uncharacterized LOC111319765	PROTEIN_CODING	NW_019220381.1	
111319792	LOC111319792	probable ATP-dependent RNA helicase DDX31	PROTEIN_CODING	NW_019220426.1	
111319818	LOC111319818	uncharacterized LOC111319818	PROTEIN_CODING	NW_019220463.1	
111319863	LOC111319863	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like	PROTEIN_CODING	NW_019220516.1	
111319880	LOC111319880	protein Wnt-16-like	PROTEIN_CODING	NW_019220535.1	
111319900	LOC111319900	A disintegrin and metalloproteinase with thrombospondin motifs 19-like	PROTEIN_CODING	NW_019220563.1	
111319902	LOC111319902	anaphase-promoting complex subunit 7-like	PROTEIN_CODING	NW_019220566.1	
111319976	LOC111319976	uncharacterized LOC111319976	PROTEIN_CODING	NW_019220685.1	
111319982	LOC111319982	eukaryotic translation initiation factor 3 subunit D-like	PROTEIN_CODING	NW_019217803.1	
111320038	LOC111320038	protein N-terminal asparagine amidohydrolase-like	PROTEIN_CODING	NW_019217803.1	
111320050	LOC111320050	26S proteasome non-ATPase regulatory subunit 10-like	PROTEIN_CODING	NW_019217803.1	
111320156	LOC111320156	protein fem-1 homolog B-like	PROTEIN_CODING	NW_019221066.1	
111320167	LOC111320167	7,8-dihydro-8-oxoguanine triphosphatase-like	PROTEIN_CODING	NW_019217803.1	
111320177	LOC111320177	cytosolic non-specific dipeptidase-like	PROTEIN_CODING	NW_019217803.1	
111320216	LOC111320216	DNA-dependent protein kinase catalytic subunit-like	PROTEIN_CODING	NW_019217803.1	
111320368	LOC111320368	serine/threonine-protein kinase TNNI3K-like	PROTEIN_CODING	NW_019221902.1	
111320382	LOC111320382	uncharacterized LOC111320382	PROTEIN_CODING	NW_019217803.1	
111320390	LOC111320390	BTB/POZ domain-containing protein 6-like	PROTEIN_CODING	NW_019217803.1	
111320422	LOC111320422	E3 ubiquitin-protein ligase TRIM71-like	PROTEIN_CODING	NW_019217803.1	
111320477	LOC111320477	myotrophin-like	PROTEIN_CODING	NW_019217803.1	
111320512	LOC111320512	protein Hook homolog 2-like	PROTEIN_CODING	NW_019223076.1	
111320528	LOC111320528	tyrosine-protein kinase receptor torso-like	PROTEIN_CODING	NW_019223255.1	
111320547	LOC111320547	WD repeat domain phosphoinositide-interacting protein 3-like	PROTEIN_CODING	NW_019217803.1	
111320557	LOC111320557	general transcription factor 3C polypeptide 4-like	PROTEIN_CODING	NW_019217803.1	
111320559	LOC111320559	polyamine oxidase-like	PROTEIN_CODING	NW_019217784.1	
111320574	LOC111320574	E3 ubiquitin-protein ligase TRIM71-like	PROTEIN_CODING	NW_019217803.1	
111320587	LOC111320587	protein O-GlcNAcase-like	PROTEIN_CODING	NW_019217804.1	
111320589	LOC111320589	developmentally-regulated GTP-binding protein 2-like	PROTEIN_CODING	NW_019217804.1	
111320592	LOC111320592	DNA-directed RNA polymerase II subunit RPB2	PROTEIN_CODING	NW_019217804.1	
111320639	LOC111320639	transient receptor potential cation channel subfamily A member 1-like	PROTEIN_CODING	NW_019217804.1	
111320640	LOC111320640	ATP-dependent RNA helicase DED1-like	PROTEIN_CODING	NW_019217804.1	
111320641	LOC111320641	pentatricopeptide repeat domain-containing protein 3, mitochondrial-like	PROTEIN_CODING	NW_019217804.1	
111320658	LOC111320658	heat shock protein 70 B2-like	PROTEIN_CODING	NW_019217804.1	
111320664	LOC111320664	uncharacterized LOC111320664	PROTEIN_CODING	NW_019217804.1	
111320676	LOC111320676	GPI ethanolamine phosphate transferase 1-like	PROTEIN_CODING	NW_019217804.1	
111320677	LOC111320677	beta-1,4-galactosyltransferase 7-like	PROTEIN_CODING	NW_019217804.1	
111320690	LOC111320690	neuronal acetylcholine receptor subunit alpha-10-like	PROTEIN_CODING	NW_019217785.1	
111320701	LOC111320701	paired box protein Pax-3-B-like	PROTEIN_CODING	NW_019217785.1	
111320702	LOC111320702	cyclic nucleotide-gated olfactory channel-like	PROTEIN_CODING	NW_019217805.1	
111320707	LOC111320707	diacylglycerol kinase delta-like	PROTEIN_CODING	NW_019217805.1	
111320708	LOC111320708	transcription factor Dp-1-like	PROTEIN_CODING	NW_019217805.1	
111320711	LOC111320711	uncharacterized LOC111320711	PROTEIN_CODING	NW_019217805.1	
111320716	LOC111320716	ribosomal RNA processing protein 1 homolog A-like	PROTEIN_CODING	NW_019217805.1	
111320720	LOC111320720	tripeptidyl-peptidase 2-like	PROTEIN_CODING	NW_019217805.1	
111320721	LOC111320721	protein maelstrom homolog	PROTEIN_CODING	NW_019217805.1	
111320722	LOC111320722	beta-1,3-galactosyltransferase 6-like	PROTEIN_CODING	NW_019217805.1	
111320725	LOC111320725	testis-specific serine/threonine-protein kinase 3-like	PROTEIN_CODING	NW_019217805.1	
111320729	LOC111320729	RNA-binding motif protein, X-linked 2-like	PROTEIN_CODING	NW_019217805.1	
111320732	LOC111320732	hypoxia up-regulated protein 1-like	PROTEIN_CODING	NW_019217805.1	
111320742	LOC111320742	uncharacterized LOC111320742	PROTEIN_CODING	NW_019217805.1	
111320745	LOC111320745	uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02-like	PROTEIN_CODING	NW_019217805.1	
111320750	LOC111320750	stretch-activated cation channel MID1-like	PROTEIN_CODING	NW_019217805.1	
111320753	LOC111320753	uncharacterized LOC111320753	PROTEIN_CODING	NW_019217805.1	
111320754	LOC111320754	signal recognition particle receptor subunit alpha-like	PROTEIN_CODING	NW_019217805.1	
111320758	LOC111320758	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like	PROTEIN_CODING	NW_019217805.1	
111320766	LOC111320766	protein ECT2-like	PROTEIN_CODING	NW_019217805.1	
111320774	LOC111320774	uncharacterized LOC111320774	PROTEIN_CODING	NW_019217805.1	
111320778	LOC111320778	gamma-tubulin complex component 3 homolog	PROTEIN_CODING	NW_019217805.1	
111320781	LOC111320781	collagen alpha-1(VII) chain-like	PROTEIN_CODING	NW_019217805.1	
111320785	LOC111320785	uncharacterized LOC111320785	PROTEIN_CODING	NW_019217805.1	
111320787	LOC111320787	epithelial discoidin domain-containing receptor 1-like	PROTEIN_CODING	NW_019217785.1	
111320802	LOC111320802	homeobox protein MOX-1-like	PROTEIN_CODING	NW_019217806.1	
111320810	LOC111320810	poly(U)-specific endoribonuclease-B-like	PROTEIN_CODING	NW_019217806.1	
111320812	LOC111320812	DNA (cytosine-5)-methyltransferase 1-like	PROTEIN_CODING	NW_019217785.1	
111320823	LOC111320823	serine/threonine-protein kinase PINK1, mitochondrial-like	PROTEIN_CODING	NW_019217785.1	
111320826	LOC111320826	zygotic DNA replication licensing factor mcm6-B-like	PROTEIN_CODING	NW_019217806.1	
111320832	LOC111320832	uncharacterized LOC111320832	PROTEIN_CODING	NW_019217806.1	
111320833	LOC111320833	sperm-associated antigen 16 protein-like	PROTEIN_CODING	NW_019217806.1	
111320853	LOC111320853	homeobox protein Hox-D9-like	PROTEIN_CODING	NW_019217806.1	
111320854	LOC111320854	homeobox protein Hox-A9a-like	PROTEIN_CODING	NW_019217806.1	
111320858	LOC111320858	homeobox protein Hox-B4-like	PROTEIN_CODING	NW_019217806.1	
111320860	LOC111320860	chondroitin sulfate synthase 2-like	PROTEIN_CODING	NW_019217806.1	
111320861	LOC111320861	beta-1,4-N-acetylgalactosaminyltransferase 3-like	PROTEIN_CODING	NW_019217806.1	
111320863	LOC111320863	fibroblast growth factor receptor 2-like	PROTEIN_CODING	NW_019217806.1	
111320868	LOC111320868	poly(U)-specific endoribonuclease-B-like	PROTEIN_CODING	NW_019217806.1	
111320873	LOC111320873	NGFI-A-binding protein 1-like	PROTEIN_CODING	NW_019217806.1	
111320874	LOC111320874	activin receptor type-2A-like	PROTEIN_CODING	NW_019217806.1	
111320876	LOC111320876	deoxyribonuclease-1-like	PROTEIN_CODING	NW_019217806.1	
111320897	LOC111320897	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L	PROTEIN_CODING	NW_019217807.1	
111320922	LOC111320922	octopamine receptor-like	PROTEIN_CODING	NW_019217807.1	
111320928	LOC111320928	max dimerization protein 1-like	PROTEIN_CODING	NW_019217807.1	
111320930	LOC111320930	histone-lysine N-methyltransferase NSD2-like	PROTEIN_CODING	NW_019217807.1	
111320931	LOC111320931	myosin regulatory light polypeptide 9-like	PROTEIN_CODING	NW_019217807.1	
111320933	LOC111320933	myosin regulatory light polypeptide 9-like	PROTEIN_CODING	NW_019217807.1	
111320935	LOC111320935	vesicle transport protein SEC20-like	PROTEIN_CODING	NW_019217807.1	
111320936	LOC111320936	U5 small nuclear ribonucleoprotein 200 kDa helicase-like	PROTEIN_CODING	NW_019217807.1	
111320937	LOC111320937	DNA helicase INO80-like	PROTEIN_CODING	NW_019217807.1	
111320938	LOC111320938	mRNA decay activator protein ZFP36L1-like	PROTEIN_CODING	NW_019217807.1	
111320942	LOC111320942	arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3-like	PROTEIN_CODING	NW_019217807.1	
111320943	LOC111320943	uncharacterized LOC111320943	PROTEIN_CODING	NW_019217807.1	
111320964	LOC111320964	cytochrome b5-like	PROTEIN_CODING	NW_019217807.1	
111320969	LOC111320969	melanocyte-stimulating hormone receptor-like	PROTEIN_CODING	NW_019217807.1	
111320999	LOC111320999	transmembrane prolyl 4-hydroxylase-like	PROTEIN_CODING	NW_019217808.1	
111321004	LOC111321004	tubulin beta chain-like	PROTEIN_CODING	NW_019217808.1	
111321005	LOC111321005	tubulin beta-4B chain-like	PROTEIN_CODING	NW_019217808.1	
111321006	LOC111321006	tubulin beta-4B chain-like	PROTEIN_CODING	NW_019217808.1	
111321007	LOC111321007	tubulin beta chain-like	PROTEIN_CODING	NW_019217808.1	
111321018	LOC111321018	metallophosphoesterase 1-like	PROTEIN_CODING	NW_019217808.1	
111321024	LOC111321024	nuclear pore complex protein Nup93-like	PROTEIN_CODING	NW_019217808.1	
111321040	LOC111321040	guanine nucleotide exchange factor MSS4-like	PROTEIN_CODING	NW_019217808.1	
111321041	LOC111321041	dihydroorotate dehydrogenase (quinone), mitochondrial-like	PROTEIN_CODING	NW_019217808.1	
111321047	LOC111321047	ATPase WRNIP1-like	PROTEIN_CODING	NW_019217808.1	
111321048	LOC111321048	protein SYS1 homolog	PROTEIN_CODING	NW_019217808.1	
111321051	LOC111321051	helicase SKI2W-like	PROTEIN_CODING	NW_019217785.1	
111321063	LOC111321063	sodium-dependent neutral amino acid transporter B(0)AT3-like	PROTEIN_CODING	NW_019217808.1	
111321068	LOC111321068	myosin-2 essential light chain-like	PROTEIN_CODING	NW_019217808.1	
111321084	LOC111321084	transmembrane prolyl 4-hydroxylase-like	PROTEIN_CODING	NW_019217808.1	
111321087	LOC111321087	sodium- and chloride-dependent transporter XTRP3-like	PROTEIN_CODING	NW_019217808.1	
111321097	LOC111321097	rhophilin-2-like	PROTEIN_CODING	NW_019217808.1	
111321102	LOC111321102	formin-like	PROTEIN_CODING	NW_019217808.1	
111321113	LOC111321113	5'-nucleotidase-like	PROTEIN_CODING	NW_019217808.1	
111321115	LOC111321115	histamine H2 receptor-like	PROTEIN_CODING	NW_019217808.1	
111321121	LOC111321121	TBC1 domain family member 31-like	PROTEIN_CODING	NW_019217808.1	
111321123	LOC111321123	uncharacterized LOC111321123	PROTEIN_CODING	NW_019217808.1	
111321124	LOC111321124	ras-related protein ORAB-1-like	PROTEIN_CODING	NW_019217784.1	
111321127	LOC111321127	calcium/calmodulin-dependent protein kinase type II alpha chain-like	PROTEIN_CODING	NW_019217808.1	
111321129	LOC111321129	adenine phosphoribosyltransferase-like	PROTEIN_CODING	NW_019217808.1	
111321131	LOC111321131	sodium- and chloride-dependent transporter XTRP3-like	PROTEIN_CODING	NW_019217808.1	
111321135	LOC111321135	ATP-binding cassette sub-family B member 9-like	PROTEIN_CODING	NW_019217808.1	
111321136	LOC111321136	programmed cell death protein 5-like	PROTEIN_CODING	NW_019217808.1	
111321141	LOC111321141	TNF receptor-associated factor 3-like	PROTEIN_CODING	NW_019217809.1	
111321167	LOC111321167	microtubule-associated serine/threonine-protein kinase 3-like	PROTEIN_CODING	NW_019217809.1	
111321168	LOC111321168	TNF receptor-associated factor 3-like	PROTEIN_CODING	NW_019217809.1	
111321170	LOC111321170	single-stranded DNA-binding protein 3-like	PROTEIN_CODING	NW_019217809.1	
111321171	LOC111321171	origin recognition complex subunit 1-like	PROTEIN_CODING	NW_019217809.1	
111321178	LOC111321178	vitellogenin-like	PROTEIN_CODING	NW_019217809.1	
111321188	LOC111321188	potassium channel subfamily K member 9-like	PROTEIN_CODING	NW_019217809.1	
111321201	LOC111321201	ras-related protein ORAB-1-like	PROTEIN_CODING	NW_019217784.1	
111321204	LOC111321204	kinesin-like protein KIF2A	PROTEIN_CODING	NW_019217809.1	
111321235	LOC111321235	uncharacterized LOC111321235	PROTEIN_CODING	NW_019217809.1	
111321236	LOC111321236	leishmanolysin-like peptidase	PROTEIN_CODING	NW_019217809.1	
111321240	LOC111321240	inactive pancreatic lipase-related protein 1-like	PROTEIN_CODING	NW_019217809.1	
111321248	LOC111321248	calcium/calmodulin-dependent protein kinase type II alpha chain-like	PROTEIN_CODING	NW_019217810.1	
111321256	LOC111321256	glycine betaine transporter 1-like	PROTEIN_CODING	NW_019217810.1	
111321259	LOC111321259	TPR repeat-containing protein DDB_G0287407-like	PROTEIN_CODING	NW_019217810.1	
111321260	LOC111321260	tartrate-resistant acid phosphatase type 5-like	PROTEIN_CODING	NW_019217784.1	
111321262	LOC111321262	neuropeptide FF receptor 2-like	PROTEIN_CODING	NW_019217810.1	
111321263	LOC111321263	neuropeptide FF receptor 2-like	PROTEIN_CODING	NW_019217810.1	
111321264	LOC111321264	tripartite motif-containing protein 2-like	PROTEIN_CODING	NW_019217810.1	
111321266	LOC111321266	CDGSH iron-sulfur domain-containing protein 2-like	PROTEIN_CODING	NW_019217810.1	
111321275	LOC111321275	phospholipase A2 A2-actitoxin-Cgg2a-like	PROTEIN_CODING	NW_019217810.1	
111321278	LOC111321278	phospholipase A2 A2-actitoxin-Cgg2a-like	PROTEIN_CODING	NW_019217810.1	
111321280	LOC111321280	fibroblast growth factor receptor 3-like	PROTEIN_CODING	NW_019217810.1	
111321291	LOC111321291	titin-like	PROTEIN_CODING	NW_019217785.1	
111321299	LOC111321299	tetraspanin-17-like	PROTEIN_CODING	NW_019217810.1	
111321301	LOC111321301	cytochrome P450 3A8-like	PROTEIN_CODING	NW_019217810.1	
111321307	LOC111321307	cGMP-inhibited 3',5'-cyclic phosphodiesterase A-like	PROTEIN_CODING	NW_019217810.1	
111321308	LOC111321308	A disintegrin and metalloproteinase with thrombospondin motifs 2-like	PROTEIN_CODING	NW_019217810.1	
111321309	LOC111321309	CDGSH iron-sulfur domain-containing protein 2A-like	PROTEIN_CODING	NW_019217810.1	
111321314	LOC111321314	histamine H2 receptor-like	PROTEIN_CODING	NW_019217810.1	
111321321	LOC111321321	polycystic kidney disease protein 1-like 2	PROTEIN_CODING	NW_019217785.1	
111321339	LOC111321339	heterogeneous nuclear ribonucleoprotein A0-like	PROTEIN_CODING	NW_019217785.1	
111321342	LOC111321342	uncharacterized LOC111321342	PROTEIN_CODING	NW_019217810.1	
111321346	LOC111321346	sphingomyelin synthase-related protein 1-like	PROTEIN_CODING	NW_019217810.1	
111321351	LOC111321351	dickkopf-related protein 3-like	PROTEIN_CODING	NW_019217810.1	
111321361	LOC111321361	adhesion G protein-coupled receptor L4-like	PROTEIN_CODING	NW_019217810.1	
111321376	LOC111321376	ALX homeobox protein 1-like	PROTEIN_CODING	NW_019217811.1	
111321382	LOC111321382	calumenin-like	PROTEIN_CODING	NW_019217811.1	
111321386	LOC111321386	ETS translocation variant 5-like	PROTEIN_CODING	NW_019217811.1	
111321389	LOC111321389	uncharacterized LOC111321389	PROTEIN_CODING	NW_019217811.1	
111321393	LOC111321393	eukaryotic translation initiation factor 3 subunit M-like	PROTEIN_CODING	NW_019217811.1	
111321400	LOC111321400	protein groucho-1-like	PROTEIN_CODING	NW_019217784.1	
111321410	LOC111321410	neuronal acetylcholine receptor subunit alpha-9-like	PROTEIN_CODING	NW_019217811.1	
111321413	LOC111321413	calmodulin-alpha-like	PROTEIN_CODING	NW_019217811.1	
111321415	LOC111321415	centrosomal protein of 131 kDa-like	PROTEIN_CODING	NW_019217811.1	
111321419	LOC111321419	GTPase-activating Rap/Ran-GAP domain-like protein 3	PROTEIN_CODING	NW_019217785.1	
111321423	LOC111321423	calmodulin-alpha-like	PROTEIN_CODING	NW_019217811.1	
111321431	LOC111321431	DNA damage-binding protein 1-like	PROTEIN_CODING	NW_019217811.1	
111321435	LOC111321435	uncharacterized LOC111321435	PROTEIN_CODING	NW_019217811.1	
111321437	LOC111321437	WD repeat-containing protein 90-like	PROTEIN_CODING	NW_019217811.1	
111321440	LOC111321440	rho guanine nucleotide exchange factor 39-like	PROTEIN_CODING	NW_019217811.1	
111321462	LOC111321462	KRR1 small subunit processome component homolog	PROTEIN_CODING	NW_019217811.1	
111321465	LOC111321465	RNA cytidine acetyltransferase-like	PROTEIN_CODING	NW_019217811.1	
111321467	LOC111321467	elongation of very long chain fatty acids protein 4-like	PROTEIN_CODING	NW_019217811.1	
111321469	LOC111321469	zinc metalloproteinase nas-1-like	PROTEIN_CODING	NW_019217811.1	
111321479	LOC111321479	galactokinase-like	PROTEIN_CODING	NW_019217811.1	
111321488	LOC111321488	5-hydroxytryptamine receptor 6-like	PROTEIN_CODING	NW_019217812.1	
111321493	LOC111321493	probable cation-transporting ATPase 13A3	PROTEIN_CODING	NW_019217812.1	
111321497	LOC111321497	mitochondrial 2-oxoglutarate/malate carrier protein-like	PROTEIN_CODING	NW_019217812.1	
111321498	LOC111321498	protein gustavus-like	PROTEIN_CODING	NW_019217812.1	
111321499	LOC111321499	solute carrier family 2, facilitated glucose transporter member 1-like	PROTEIN_CODING	NW_019217812.1	
111321501	LOC111321501	ceramide-1-phosphate transfer protein-like	PROTEIN_CODING	NW_019217812.1	
111321502	LOC111321502	endothelin-converting enzyme homolog	PROTEIN_CODING	NW_019217812.1	
111321509	LOC111321509	endothelin-converting enzyme homolog	PROTEIN_CODING	NW_019217812.1	
111321525	LOC111321525	rap1 GTPase-activating protein 1-like	PROTEIN_CODING	NW_019217812.1	
111321530	LOC111321530	ubiA prenyltransferase domain-containing protein 1-like	PROTEIN_CODING	NW_019217812.1	
111321534	LOC111321534	platelet-derived growth factor receptor alpha-like	PROTEIN_CODING	NW_019217812.1	
111321536	LOC111321536	DNA-directed RNA polymerase, mitochondrial-like	PROTEIN_CODING	NW_019217812.1	
111321545	LOC111321545	synaptotagmin-6-like	PROTEIN_CODING	NW_019217812.1	
111321548	LOC111321548	probable low affinity copper uptake protein 2	PROTEIN_CODING	NW_019217812.1	
111321549	LOC111321549	quinone oxidoreductase 1-like	PROTEIN_CODING	NW_019217812.1	
111321552	LOC111321552	ubiA prenyltransferase domain-containing protein 1-like	PROTEIN_CODING	NW_019217812.1	
111321556	LOC111321556	potassium voltage-gated channel subfamily A member 7-like	PROTEIN_CODING	NW_019217812.1	
