date,SampleCode,plate,area mm^2,color,morph,pH,LightDepth,OxyRate nmol/mm2/min
08/04/2025,plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.0081
08/04/2024,plateA_HF_27C_10,plateA,3.03,HF,23,8.2,10m,1.0081
14/05/2025,plateC_HF_8.2_1,plateC,1.861,HF,23,8.2,10m,0.983708821
08/04/2025,plateE_NF_control_1,plateE,1.603,NF,23,8.2,10m,0.9639
08/04/2025,plateE_HF_control_4,plateE,1.684,NF,23,8.2,10m,0.9604
08/04/2024,plateF_NF_control_7,plateF,1.971,HF,23,8.2,10m,0.9604
07/04/2024,plate4_42a,plate 4,1.91,NF,23,8.2,10m,0.954117778
08/04/2025,plateE_HF_control_10,plateE,4.181,HF,23,8.2,10m,0.9333
14/05/2025,plateD_NF_8.2_1,plateD,1.665,NF,23,8.2,10m,0.905960931
08/04/2025,plateE_HF_control_13,plateE,2.162,HF,23,8.2,10m,0.9018
14/05/2025,plateD_NF_8.2_6,plateD,2.434,NF,23,8.2,10m,0.889736276
07/04/2024,plate4_34a,plate 4,1.703,HF,23,8.2,10m,0.886746685
14/05/2025,plateC_HF_8.2_10,plateC,1.004,HF,23,8.2,10m,0.845888393
14/05/2025,plateC_HF_8.2_7,plateC,3.214,HF,23,8.2,10m,0.821599871
08/04/2024,plateA_HF_27C_1,plateA,1.292,HF,23,8.2,10m,0.8202
08/04/2025,plateE_HF_control_15,plateE,2.273,HF,23,8.2,10m,0.8202
08/04/2025,plateE_HF_control_8,plateE,3.69,HF,23,8.2,10m,0.8139
08/04/2025,plateE_HF_control_3,plateE,1.621,HF,23,8.2,10m,0.8032
14/05/2025,plateC_HF_8.2_11,plateC,3.993,HF,23,8.2,10m,0.801502664
27/05/2023,high_Flu_polyp,plate 1,0.529,HF,23,8.2,10m,0.800125567
27/05/2023,high_Flu_polyp,plate 1,1.141,HF,23,8.2,10m,0.784896955
08/04/2025,plateE_NF_control_1,plateE,1.603,HF,23,8.2,10m,0.7711
08/04/2024,plateA_HF_27C_2,plateA,6.021,NF,23,8.2,10m,0.771086707
08/04/2025,plateE_NF_control_2,plateE,1.833,NF,23,8.2,10m,0.7475
08/04/2024,plateF_NF_control_5,plateF,1.623,HF,23,8.2,10m,0.7466
08/04/2025,plateE_HF_control_10,plateE,4.181,HF,23,8.2,10m,0.7466
08/04/2025,plateE_HF_control_11,plateE,2.271,HF,23,8.2,10m,0.7319
07/04/2024,plate2_4c,plate 2,2.422,HF,23,8.2,10m,0.727267515
08/04/2025,plateE_HF_control_13,plateE,2.162,NF,23,8.2,10m,0.7214
14/05/2025,plateC_HF_8.2_6,plateC,2.916,HF,23,8.2,10m,0.691024227
08/04/2025,plateE_HF_control_1,plateE,2.118,HF,23,8.2,10m,0.6823
08/04/2025,plateE_HF_control_8,plateE,3.69,NF,23,8.2,10m,0.6511
08/04/2024,plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,0.6426
08/04/2025,plateE_HF_control_3,plateE,1.621,NF,23,8.2,10m,0.6426
14/05/2025,plateD_NF_8.2_10,plateD,2.767,NF,23,8.2,10m,0.618938438
08/04/2025,plateE_NF_control_2,plateE,1.833,HF,23,8.2,10m,0.598
08/04/2024,plateA_HF_27C_9,plateA,1.89,NF,23,8.2,10m,0.598
08/04/2024,plateA_HF_27C_7,plateA,6.002,HF,23,8.2,10m,0.585507239
08/04/2025,plateE_HF_control_11,plateE,2.271,HF,23,8.2,10m,0.5855
08/04/2024,plateA_HF_27C_8,plateA,1.325,HF,23,8.2,10m,0.5459
08/04/2025,plateE_HF_control_1,plateE,2.118,HF,23,8.2,10m,0.5459
07/04/2024,plate2_4b,plate 2,10.467,HF,23,8.2,10m,0.53615193
14/05/2025,plateD_NF_8.2_9,plateD,3.367,NF,23,8.2,10m,0.503173862
14/05/2025,plateC_HF_8.2_5,plateC,4.105,HF,23,8.2,10m,0.496759994
14/05/2025,plateC_HF_8.2_12,plateC,5.988,HF,23,8.2,10m,0.479111373
14/05/2025,plateC_HF_8.2_1,plateC,4.169,HF,23,8.2,10m,0.439117802
07/04/2024,plate1_97a,plate 1,2.838,HF,23,8.2,10m,0.437272762
14/05/2025,plateC_HF_8.2_4,plateC,3.461,HF,23,8.2,10m,0.37787447
14/05/2025,plateC_HF_8.2_3,plateC,3.147,HF,23,8.2,10m,0.369654558
08/04/2025,plateE_HF_control_5,plateE,2.182,HF,23,8.2,10m,0.3587
08/04/2025,plateF_NF_control_5,plateF,1.623,NF,23,8.2,10m,0.3059
08/04/2025,plateE_HF_control_5,plateE,2.182,HF,23,8.2,10m,0.2869
08/04/2024,plateF_NF_control_4,plateF,3.582,HF,23,8.2,10m,0.2869
07/04/2024,plate1_7d,plate 1,4.698,HF,23,8.2,10m,0.248127126
07/04/2024,plate1_9b,plate 1,5.596,NF,23,8.2,10m,0.245715747
08/04/2025,plateF_NF_control_5,plateF,1.623,HF,23,8.2,10m,0.2447
08/04/2024,plateB_NF_27C_13,plateB,5.307,NF,23,8.2,10m,0.244685644
08/04/2025,plateF_NF_control_7,plateF,1.971,NF,23,8.2,10m,0.2349
08/04/2025,plateF_NF_control_1,plateF,2.205,NF,23,8.2,10m,0.189
08/04/2025,plateF_NF_control_7,plateF,1.971,HF,23,8.2,10m,0.1879
08/04/2024,plateA_HF_27C_6,plateA,2.514,NF,23,8.2,10m,0.1879
07/04/2024,plate2_99a,plate 2,4.548,NF,23,8.2,10m,0.171618923
08/04/2025,plateF_NF_control_3,plateF,2.351,NF,23,8.2,10m,0.1588
08/04/2024,plateA_HF_27C_1,plateA,1.292,NF,23,8.2,10m,0.1512
07/04/2024,plate2_4d,plate 2,5.016,HF,23,8.2,10m,0.133106486
08/04/2025,plateF_NF_control_3,plateF,2.351,HF,23,8.2,10m,0.127
08/04/2024,plateB_NF_27C_3,plateB,3.536,NF,23,8.2,10m,0.127
08/04/2025,plateE_HF_control_2,plateE,1.18,HF,23,8.2,10m,0.1252
27/05/2023,high_Flu_polyp,plate 1,0.958,HF,23,8.2,10m,0.122043797
11/06/2024,plate1_36a,plate 1,4.611,NF,23,8.2,10m,0.113460242
08/04/2025,plateE_HF_control_2,plateE,1.18,HF,23,8.2,10m,0.1002
08/04/2024,plateA_HF_27C_4,plateA,4.247,HF,23,8.2,10m,0.1002
