SampleCode,plate,area mm^2,morph,temp,pH,LightDepth,OxyRate nmol/mm2/min
high_Flu_polyp,plate 1,1.141,HF,23,8.2,10m,0.784896955
plateD_NF_8.2_10,plateD,2.767,NF,23,8.2,10m,0.773673047
plateE_NF_control_1,plateE,1.603,HF,23,8.2,10m,0.7711
plateA_HF_27C_2,plateA,6.021,NF,23,8.2,10m,0.771086707
plateE_NF_control_2,plateE,1.833,NF,23,8.2,10m,0.7475
plateF_NF_control_5,plateF,1.623,HF,23,8.2,10m,0.7466
plateE_HF_control_10,plateE,4.181,HF,23,8.2,10m,0.7466
plateE_HF_control_11,plateE,2.271,HF,23,8.2,10m,0.7319
plate2_4c,plate 2,2.422,HF,23,8.2,10m,0.727267515
plateE_HF_control_13,plateE,2.162,NF,23,8.2,10m,0.7214
plateF_NF_control_1,plateF,2.205,HF,23,8.2,10m,0.7214
plateC_HF_8.2_6,plateC,2.916,HF,23,8.2,10m,0.691024227
plateB_HF_27C_3,plateB,1.676,HF,27,8.2,10m,0.6893
plateE_HF_control_1,plateE,2.118,HF,23,8.2,10m,0.6823
plate2_16c,plate 2,1.092,HF,27,8.2,10m,0.6666
plateE_HF_control_8,plateE,3.69,NF,23,8.2,10m,0.6511
plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,0.6426
plateE_HF_control_3,plateE,1.621,NF,23,8.2,10m,0.6426
plateD_NF_8.2_9,plateD,3.367,NF,23,8.2,10m,0.628967328
plateC_HF_8.2_5,plateC,4.105,HF,23,8.2,10m,0.620949992
plateD_NF_8.2_10,plateD,2.767,NF,23,8.2,10m,0.618938438
plateC_HF_8.2_12,plateC,5.988,HF,23,8.2,10m,0.598889216
plateE_NF_control_2,plateE,1.833,HF,23,8.2,10m,0.598
plateA_HF_27C_9,plateA,1.89,NF,23,8.2,10m,0.598
plateE_HF_control_11,plateE,2.271,HF,23,8.2,10m,0.5855
plateA_HF_27C_7,plateA,6.002,HF,23,8.2,10m,0.585507239
plateD_NF_50m_5,plateD,4.003,HF,27,8.2,10m,0.5514
plateC_HF_8.2_1,plateC,4.169,HF,23,8.2,10m,0.548897252
plateA_HF_27C_8,plateA,1.325,HF,23,8.2,10m,0.5459
plateE_HF_control_1,plateE,2.118,HF,23,8.2,10m,0.5459
plate1_64b,plate 1,5.983,HF,27,8.2,10m,0.5407
plate2_4b,plate 2,10.467,HF,23,8.2,10m,0.53615193
plateB_NF_27C_13,plateB,5.307,NF,27,8.2,10m,0.5353
plateB_HF_27C_2,plateB,2.896,HF,27,8.2,10m,0.5128
plateD_NF_8.2_9,plateD,3.367,NF,23,8.2,10m,0.503173862
plate1_12b,plate 1,2.569,NF,27,8.2,10m,0.4978
plateC_HF_8.2_5,plateC,4.105,HF,23,8.2,10m,0.496759994
plate1_66b,plate 1,4.076,HF,32,8.2,10m,0.4957
plateC_NF_27C_2,plateC,2.062,NF,27,8.2,10m,0.4928
plateA_HF_27C_1,plateA,1.292,HF,27,8.2,10m,0.4884
plateC_HF_8.2_12,plateC,5.988,HF,23,8.2,10m,0.479111373
plateC_HF_8.2_4,plateC,3.461,HF,23,8.2,10m,0.472343087
plate2_16b,plate 2,1.597,HF,27,8.2,10m,0.4694
plateC_HF_8.2_3,plateC,3.147,HF,23,8.2,10m,0.462068198
plate1_64a,plate 1,1.934,HF,27,8.2,10m,0.4589
plateC_HF_8.2_1,plateC,4.169,HF,23,8.2,10m,0.439117802
plate1_97a,plate 1,2.838,HF,23,8.2,10m,0.437272762
plateB_NF_27C_6,plateB,4.532,NF,27,8.2,10m,0.4302
plateD_NF_50m_2,plateD,1.191,NF,27,8.2,10m,0.4283
plate1_64c,plate 1,4.416,HF,27,8.2,10m,0.4143
plateD_NF_50m_7,plateD,8.495,HF,27,8.2,10m,0.4103
plateC_HF_50m_5,plateC,3.959,HF,27,8.2,10m,0.3907
plate1_12a,plate 1,1.407,NF,27,8.2,10m,0.3895
plateB_NF_27C_10,plateB,1.372,NF,27,8.2,10m,0.3882
plateC_HF_8.2_4,plateC,3.461,HF,23,8.2,10m,0.37787447
plateC_HF_8.2_3,plateC,3.147,HF,23,8.2,10m,0.369654558
plate3_24b,plate 3,2.641,NF,32,8.2,10m,0.3695
plateE_HF_control_5,plateE,2.182,HF,23,8.2,10m,0.3587
plate1_66c,plate 1,1.416,HF,32,8.2,10m,0.3299
plateC_NF_27C_4,plateC,2.397,NF,27,8.2,10m,0.3075
plateF_NF_control_5,plateF,1.623,NF,23,8.2,10m,0.3059
plate2_61b,plate 2,2.295,HF,32,8.2,10m,0.3
plateB_NF_27C_8,plateB,1.603,NF,27,8.2,10m,0.2994
plateE_HF_control_5,plateE,2.182,HF,23,8.2,10m,0.2869
plateF_NF_control_4,plateF,3.582,HF,23,8.2,10m,0.2869
plateA_HF_27C_3,plateA,3.812,HF,27,8.2,10m,0.2735
plateB_NF_27C_5,plateB,2.969,NF,27,8.2,10m,0.256
plateB_NF_27C_9,plateB,1.932,NF,27,8.2,10m,0.2517
plate1_7d,plate 1,4.698,HF,23,8.2,10m,0.248127126
plate1_9b,plate 1,5.596,NF,23,8.2,10m,0.245715747
plateF_NF_control_5,plateF,1.623,HF,23,8.2,10m,0.2447
plateB_NF_27C_13,plateB,5.307,NF,23,8.2,10m,0.244685644
plateD_NF_50m_6,plateD,1.684,NF,27,8.2,10m,0.2395
plateA_HF_27C_7,plateA,6.002,HF,27,8.2,10m,0.2381
plateF_NF_control_7,plateF,1.971,NF,23,8.2,10m,0.2349
plate1_66a,plate 1,1.843,HF,32,8.2,10m,0.2311
plateA_HF_27C_6,plateA,2.514,HF,27,8.2,10m,0.2225
plateD_NF_50m_8,plateD,5.511,NF,27,8.2,10m,0.2014
plate2_16a,plate 2,8.45,HF,27,8.2,10m,0.1941
plateF_NF_control_1,plateF,2.205,NF,23,8.2,10m,0.189
plateF_NF_control_7,plateF,1.971,HF,23,8.2,10m,0.1879
plateA_HF_27C_6,plateA,2.514,NF,23,8.2,10m,0.1879
plateC_HF_50m_15,plateC,2.312,HF,27,8.2,10m,0.178
plateB_NF_27C_15,plateB,5.768,NF,27,8.2,10m,0.1778
plate2_99a,plate 2,4.548,NF,23,8.2,10m,0.171618923
plate2_10b,plate 2,2.337,HF,27,8.2,10m,0.1712
plateF_NF_control_3,plateF,2.351,NF,23,8.2,10m,0.1588
plateA_HF_27C_1,plateA,1.292,NF,23,8.2,10m,0.1512
plateF_NF_control_1,plateF,2.205,HF,23,8.2,10m,0.1512
plateA_HF_27C_8,plateA,1.325,HF,27,8.2,10m,0.1349
plateA_HF_27C_5,plateA,4.281,HF,27,8.2,10m,0.1345
plate2_4d,plate 2,5.016,HF,23,8.2,10m,0.133106486
plateA_HF_27C_1,plateA,1.292,HF,27,8.2,10m,0.1319
plateF_NF_control_3,plateF,2.351,HF,23,8.2,10m,0.127
plateB_NF_27C_3,plateB,3.536,NF,23,8.2,10m,0.127
plateE_HF_control_2,plateE,1.18,HF,23,8.2,10m,0.1252
high_Flu_polyp,plate 1,0.958,HF,23,8.2,10m,0.122043797
plate1_25a,plate 1,3.492,HF,32,8.2,10m,0.1197
plate1_36a,plate 1,4.611,NF,23,8.2,10m,0.113460242
plateA_HF_27C_9,plateA,1.89,HF,27,8.2,10m,0.1037
plateE_HF_control_2,plateE,1.18,HF,23,8.2,10m,0.1002
plateA_HF_27C_4,plateA,4.247,HF,23,8.2,10m,0.1002
