Annotated Gene List: 325 Differentially Expressed Genes in Stylophora pistillata,,,,,,
Key:,,,,,,
HF (Positive LFC): Upregulated in High-Fluorescence Planulae.,,,,,,
NF (Negative LFC): Upregulated in Non-Fluorescent Planulae.,,,,,,
"References: Specific citations used for validation. ""Inferred from Protein Family"" denotes genes where the coral-specific function is derived from conserved domain analysis.",,,,,,
,,,,,,
#,Gene Symbol,Description,LFC (Exp),Category,Biological Function & Explanation,Reference
26,LOC111327419,late secretory pathway protein AVL9 homolog,+1.79 (HF),Transport,Vesicle transport in the secretory pathway.,Harsay & Schekman (2002) (AVL9 in yeast secretion)
27,LOC111320871,collagen alpha chain-like,+1.84 (HF),Calcification,Structural component of ECM/Skeleton.,Levy et al. (2021)
28,LOC111328830,uncharacterized LOC111328830,+2.97 (HF),Unknown,Function unknown.,N/A
29,LOC111339967,uncharacterized LOC111339967,+2.27 (HF),Unknown,Function unknown.,N/A
30,LOC111329191,uncharacterized LOC111329191,+2.38 (HF),Unknown,Function unknown.,N/A
31,LOC111327333,fibrillin-1-like,+1.95 (HF),Structural,ECM protein; provides elasticity to tissues.,Drake et al. (2013) (Skeletal proteome)
32,LOC111341580,mucin-2-like,+2.25 (HF),Immunity/Stress,Mucus production; protects epithelium from pathogens/stress.,Levy et al. (2021) (Secretory cells)
33,LOC111345232,CUB and sushi domain-containing protein 3-like,+2.22 (HF),Signaling,Often found in peptidases or adhesion molecules.,Mass et al. (2013) (Skeletal organic matrix)
34,LOC111338999,linear gramicidin synthase subunit D-like,+2.53 (HF),Metabolism,"Peptide synthesis (annotated from bacteria, likely a non-ribosomal peptide synthetase homolog).",Inferred from Protein Family
35,LOC111323911,uncharacterized LOC111323911,+2.17 (HF),Unknown,Function unknown.,N/A
36,LOC111346784,GFP-like fluorescent chromoprotein amFP486,+4.76 (HF),Phenotype,The fluorescent protein itself. Validates larval sorting.,Alieva et al. (2008)
37,LOC111340560,uncharacterized skeletal organic matrix protein 7-like,+2.22 (HF),Calcification,Matrix protein embedded in skeleton; guides crystal growth.,Levy et al. (2021) (Calicoblasts)
38,LOC111323945,orexin receptor type 1-like,+3.90 (HF),Signaling,G-protein coupled receptor; sensing environmental cues?,Koch et al. (2021) (Cnidarian neuropeptide GPCRs)
39,LOC111337124,failed axon connections homolog,+1.53 (HF),Nervous System,Axon guidance and development.,UniProt Family (Fax protein)
40,LOC111344518,GFP-like fluorescent chromoprotein amFP486,+4.19 (HF),Phenotype,Another copy/variant of the fluorescent protein.,Alieva et al. (2008)
41,LOC111325264,endothelin-converting enzyme homolog,+2.58 (HF),Metabolism,Protease; processes peptide hormones.,Turner & Tanzawa (1997) (ECE family review)
42,LOC111323862,inactive tyrosine-protein kinase transmembrane receptor ROR1-like,+2.63 (HF),Signaling,Wnt/ROR signaling receptor; developmental patterning.,Levy et al. (2021)
43,LOC111340822,biliverdin reductase A-like,+1.73 (HF),Antioxidant,Converts biliverdin to bilirubin (potent antioxidant). Heme metabolism.,Mancuso et al. (2024) (BVR/Bilirubin antioxidant axis)
44,LOC111346562,uncharacterized LOC111346562,-1.49 (NF),Unknown,Function unknown.,N/A
45,LOC111340635,angiopoietin-related protein 7-like,+3.96 (HF),Signaling,Vascular/tissue remodeling; ECM interaction.,UniProt Family (ANGPTL7)
46,LOC111323092,palmitoyltransferase AKR1-like,-2.48 (NF),Signaling,"Adds fatty acids to proteins (palmitoylation), affecting their localization.",UniProt Family (DHHC domain)
47,LOC111320024,MAM and LDL-receptor class A domain-containing protein 1-like,+2.75 (HF),Signaling,Cell surface receptor; potentially involved in endocytosis or signaling.,Mass et al. (2013) (Skeletal matrix proteins)
48,LOC111335460,uncharacterized LOC111335460,+2.85 (HF),Unknown,Function unknown.,N/A
49,LOC111336828,solute carrier family 12 member 1-like,-1.02 (NF),Transport,Ion transporter (Na/K/Cl); osmoregulation.,Hebert et al. (2004) (SLC12 family function)
50,LOC111333735,hemicentin-1-like,+2.40 (HF),Structural,ECM protein; stabilizes basement membranes.,Vogel & Hedgecock (2001) (Hemicentin in C. elegans)
51,LOC111345167,uncharacterized LOC111345167,+2.47 (HF),Unknown,Function unknown.,N/A
52,LOC111328831,uncharacterized LOC111328831,+4.36 (HF),Unknown,Function unknown.,N/A
53,LOC111332739,"sushi, von Willebrand factor type A, EGF...",+2.90 (HF),Calcification,Contains domains found in Skeletal Organic Matrix proteins (SOM).,Mass et al. (2013)
54,LOC111337461,glutamic acid-rich protein-like,+2.16 (HF),Calcification,Acid-rich proteins often bind calcium in the skeleton (CARPs).,Mass et al. (2013)
55,LOC111330856,cysteine-rich motor neuron 1 protein-like,+2.98 (HF),Nervous System,Motor neuron development; movement?,UniProt Family (CRIM1)
56,LOC111342023,receptor-type tyrosine-protein phosphatase epsilon-like,+1.68 (HF),Signaling,Regulates cell signaling by removing phosphate groups.,Andersen et al. (2001) (PTP epsilon function)
57,LOC111328662,nucleolin-like,-1.31 (NF),Cell Growth,Ribosome biogenesis; cell proliferation marker.,Levy et al. (2021) (Proliferative cells)
58,LOC111334459,vacuolar protein sorting-associated protein 13D-like,+1.92 (HF),Transport,Intracellular protein trafficking.,Velayos-Baeza et al. (2004) (VPS13D function)
59,LOC111342654,adenosine receptor A3-like,+5.21 (HF),Signaling,GPCR; responds to adenosine (stress/metabolic signal).,Gessi et al. (2008) (Adenosine receptors review)
60,LOC111346087,fatty acyl-CoA reductase 1-like,+1.75 (HF),Lipid,Lipid metabolism; synthesis of fatty alcohols/waxes.,Cheng & Russell (2004) (FAR1 function)
61,LOC111320816,collagen alpha-1(I) chain-like,+4.03 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
62,LOC111343259,piggyBac transposable element-derived protein 4-like,+1.82 (HF),DNA Regulation,Transposable element; may regulate gene expression.,Sarkar et al. (2003) (PiggyBac transposons)
63,LOC111320781,collagen alpha-1(VII) chain-like,+2.05 (HF),Calcification,Structural ECM/Skeleton component (Anchoring fibrils).,Levy et al. (2021)
64,LOC111337480,uncharacterized LOC111337480,+2.43 (HF),Unknown,Function unknown.,N/A
65,LOC111327303,temperature-induced lipocalin-1-like,+1.80 (HF),Stress,Binds lipids; protects membranes during heat stress.,Kenkel et al. (2013)
66,LOC111324621,neuronal pentraxin-1-like,+3.05 (HF),Nervous System,Synaptic remodeling; clearance of synaptic debris.,Kovács et al. (2020) (Neuronal pentraxins and C1q)
67,LOC111340887,apoptosis regulator R1-like,+1.31 (HF),Stress,Regulates programmed cell death (anti-apoptotic?).,Levy et al. (2021) (Stress modules)
68,LOC111338219,MAM and LDL-receptor class A domain-containing protein 1-like,+2.50 (HF),Signaling,Receptor; signaling or endocytosis.,Mass et al. (2013)
69,LOC111343638,collagen alpha-2(IX) chain-like,+2.41 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
70,LOC111327802,ribose-phosphate pyrophosphokinase 2-like,+2.06 (HF),Metabolism,Nucleotide synthesis (purines/pyrimidines).,Becker et al. (1996) (PRPP synthase function)
71,LOC111318839,uncharacterized LOC111318839,+1.98 (HF),Unknown,Function unknown.,N/A
72,LOC111332308,collagen alpha-1(I) chain-like,+2.04 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
73,LOC111333986,zinc metalloproteinase nas-4-like,+1.90 (HF),ECM Remodeling,Degrades ECM; tissue remodeling during settlement.,Park et al. (2010) (NAS-4 in C. elegans molting)
74,LOC111324935,matrix metalloproteinase-25-like,+1.64 (HF),ECM Remodeling,Degrades ECM; tissue remodeling.,Vandooren et al. (2013) (MMP-25 function)
75,LOC111338211,MAM and LDL-receptor class A domain-containing protein 1-like,+2.78 (HF),Signaling,Receptor; signaling or endocytosis.,Mass et al. (2013)
76,LOC111332732,CUB and sushi domain-containing protein 1-like,+2.38 (HF),Signaling,Adhesion or signaling.,Drake et al. (2013)
77,LOC111320822,collagen alpha-1(I) chain-like,+1.98 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
78,LOC111327252,alpha-2-macroglobulin-like,+2.05 (HF),Immunity,Protease inhibitor; traps pathogen proteases.,Levy et al. (2021)
79,LOC111343440,methyltransferase-like protein 25,+1.88 (HF),Gene Reg,Methylation (epigenetic or protein modification).,Inferred from Protein Family
80,LOC111343442,uncharacterized LOC111343442,+1.85 (HF),Unknown,Function unknown.,N/A
81,LOC111346891,heme-binding protein 2-like,+3.03 (HF),Stress,Binds heme/porphyrins; prevents oxidative damage.,Ishikawa et al. (2005) (HEBP2 function)
82,LOC111340194,lysosomal acid lipase/cholesteryl ester hydrolase-like,+1.99 (HF),Lipid,Breaks down stored lipids for energy.,Levy et al. (2021) (Gastrodermis)
83,LOC111340891,collagen alpha-1(I) chain-like,+1.40 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
84,LOC111343017,glycine receptor subunit alphaZ1-like,+2.00 (HF),Nervous System,Neurotransmitter receptor.,Lynch (2004) (Glycine receptor review)
85,LOC111320821,collagen alpha-1(I) chain-like,+1.83 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
86,LOC111331324,fibulin-1-like,+3.29 (HF),Structural,ECM protein; structure and elasticity.,Inferred from Protein Family
87,LOC111325783,A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like,-1.30 (NF),ECM Remodeling,ADAMTS family; ECM degradation/processing.,Kelwick et al. (2015) (ADAMTS review)
88,LOC111328433,filamin-A-like,-1.41 (NF),Cytoskeleton,Actin-binding protein; cell structure.,Levy et al. (2021)
89,LOC111328602,fork head domain-containing protein FD5-like,-1.58 (NF),Development,Fox transcription factor; cell growth/differentiation.,Levy et al. (2021)
90,LOC111335819,group XV phospholipase A2-like,+2.14 (HF),Lipid,Cleaves fatty acids from phospholipids; signaling.,Lambeau & Gelb (2008) (PLA2 superfamily)
91,LOC111329755,soma ferritin-like,+1.72 (HF),Stress,Sequesters iron; prevents oxidative stress (ROS).,Palmer et al. (2009)
92,LOC111324504,uncharacterized LOC111324504,+2.14 (HF),Unknown,Function unknown.,N/A
93,LOC111324008,uncharacterized LOC111324008,-1.33 (NF),Unknown,Function unknown.,N/A
94,LOC111335366,SH3 and PX domain-containing protein 2A-like,-1.44 (NF),Signaling,Cell adhesion and migration (podorosomes).,Tehrani et al. (2006) (Tks5/SH3PXD2A function)
95,LOC111323023,uncharacterized LOC111323023,+2.53 (HF),Unknown,Function unknown.,N/A
96,LOC111336974,low-density lipoprotein receptor-related protein 8-like,-1.08 (NF),Signaling,Reelin signaling; neuronal migration.,Herz & Chen (2006) (LRP8 function)
97,LOC111322288,uncharacterized LOC111322288,+2.36 (HF),Unknown,Function unknown.,N/A
98,LOC111345786,uncharacterized LOC111345786,+1.53 (HF),Unknown,Function unknown.,N/A
99,LOC111327418,probable indole-3-acetic acid-amido synthetase GH3.9,+3.18 (HF),Signaling,Auxin-like hormone metabolism (common in symbiosis?).,Staswick et al. (2005) (GH3 family function)
100,LOC111330066,uncharacterized LOC111330066,+2.59 (HF),Unknown,Function unknown.,N/A
101,LOC111336934,latent-transforming growth factor beta-binding protein 3-like,+1.83 (HF),Signaling,TGF-beta regulation; matrix organization.,Robertson et al. (2015) (LTBP function)
102,LOC111332789,uncharacterized LOC11132789,+1.86 (HF),Unknown,Function unknown.,N/A
103,LOC111333170,uncharacterized LOC111333170,-2.01 (NF),Unknown,Function unknown.,N/A
104,LOC111320952,trypsin-like,+2.17 (HF),Metabolism,Protease; digestion or activation of proteins.,Inferred from Protein Family
105,LOC111326885,allene oxide synthase-lipoxygenase protein-like,-1.26 (NF),Immunity,Synthesis of allene oxide (prostaglandin-like) signaling molecules.,Levy et al. (2021)
106,LOC111324993,72 kDa type IV collagenase-like,+1.27 (HF),ECM Remodeling,MMP2; degrades collagen type IV (basement membrane).,Massova et al. (1998) (MMP2 structure/function)
107,LOC111335314,uncharacterized LOC111335314,+2.45 (HF),Unknown,Function unknown.,N/A
108,LOC111334934,transforming growth factor-beta-induced protein ig-h3-like,+2.25 (HF),Signaling,Cell adhesion; response to TGF-beta.,Thapa et al. (2007) (TGFBI function)
109,LOC111319860,low-density lipoprotein receptor-related protein 6-like,+3.20 (HF),Signaling,Wnt signaling co-receptor.,Tamai et al. (2000) (LRP6 in Wnt signaling)
110,LOC111328749,cobra venom factor-like,+2.30 (HF),Immunity,Complement system homolog.,Levy et al. (2021) (Immune cells)
111,LOC111330589,monocarboxylate transporter 10-like,+1.49 (HF),Metabolism,Transports lactate/pyruvate; energy mobilization.,Levy et al. (2021)
112,LOC111343161,uncharacterized LOC111343161,+2.72 (HF),Unknown,Function unknown.,N/A
113,LOC111338572,uncharacterized LOC111338572,-1.20 (NF),Unknown,Function unknown.,N/A
114,LOC111338858,uncharacterized LOC111338858,-2.74 (NF),Unknown,Function unknown.,N/A
115,LOC111335693,integrin alpha-9-like,+1.29 (HF),Adhesion,Cell-ECM adhesion; settlement?,Knop et al. (2012)
116,LOC111321843,hemicentin-1-like,+1.86 (HF),Structural,ECM protein; basement membrane.,Vogel & Hedgecock (2001)
117,LOC111331440,uncharacterized LOC111331440,-1.04 (NF),Unknown,Function unknown.,N/A
118,LOC111325671,uncharacterized LOC111325671,+2.28 (HF),Unknown,Function unknown.,N/A
119,LOC111343910,uncharacterized LOC111343910,+1.96 (HF),Unknown,Function unknown.,N/A
120,LOC111326602,transmembrane protein 205-like,+2.58 (HF),Unknown,Transmembrane protein.,Inferred from Protein Family
121,LOC111325186,gamma-aminobutyric acid type B receptor subunit 2-like,-1.43 (NF),Nervous System,GABA receptor (inhibitory neurotransmission).,Gassmann et al. (2004) (GABA-B structure)
122,LOC111327625,tissue inhibitor of metalloproteinase-like,+2.64 (HF),ECM Remodeling,TIMP; regulates MMPs (prevents excessive tissue damage).,Brew & Nagase (2010) (TIMP function)
123,LOC111346802,uncharacterized LOC111346802,+1.70 (HF),Unknown,Function unknown.,N/A
124,LOC111341087,homeobox protein Hox-B4a-like,+3.66 (HF),Development,Anterior-posterior patterning.,Veroff et al. (2017)
125,LOC111337489,uncharacterized LOC111337489,+2.44 (HF),Unknown,Function unknown.,N/A
126,LOC111322400,peroxidasin homolog,-1.51 (NF),Stress / ECM,Crosslinks collagen; uses H2O2.,Fidler et al. (2014)
127,LOC111335321,lactadherin-like,+2.41 (HF),Signaling,Phagocytosis of apoptotic cells?,Hanayama et al. (2002) (Lactadherin function)
128,LOC111322266,gamma-interferon-inducible lysosomal thiol reductase-like,+1.99 (HF),Immunity,Antigen processing; reduction of disulfide bonds in lysosomes.,Arunachalam et al. (2000) (GILT function)
129,LOC111320820,collagen alpha-1(I) chain-like,+2.20 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
130,LOC111320842,collagen alpha-1(III) chain-like,+2.26 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
131,LOC111323897,flocculation protein FLO11-like,+2.44 (HF),Adhesion,"Cell adhesion (yeast homolog, function in coral unclear but likely adhesion).",Verstrepen & Klis (2006) (Flocculins)
132,LOC111326654,homeobox protein GBX-2-like,+2.60 (HF),Development,CNS development; anterior patterning.,Wassarman et al. (1997) (Gbx2 function)
133,LOC111336667,cell wall integrity and stress response component 4-like,+3.11 (HF),Stress,Stress response?,Inferred from Protein Family
134,LOC111343618,uncharacterized LOC111343618,-1.17 (NF),Unknown,Function unknown.,N/A
135,LOC111326934,CSC1-like protein ERD4,+1.50 (HF),Transport,Calcium permeable cation channel?,Hou et al. (2014) (CSC1 as OSCA channel)
136,LOC111342143,Niemann-Pick C1 protein-like,+1.50 (HF),Symbiosis,Intracellular cholesterol transport/trafficking.,Levy et al. (2021)
137,LOC111333478,coagulation factor V-like,+1.86 (HF),Immunity/Blood,Coagulation homolog; immunity or wound healing.,Mann & Kalafatis (2003) (Factor V)
138,LOC111340883,transcription factor Sox-21-B-like,+2.08 (HF),Development,Neurogenesis; Sox family transcription factor.,Levy et al. (2021)
139,LOC111331389,"dynein heavy chain 1, axonemal-like",-1.02 (NF),Cilia,Ciliary movement (swimming).,Pfister et al. (2006) (Dynein function)
140,LOC111321489,collagen alpha-1(I) chain-like,+1.34 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
141,LOC111336312,tropomyosin alpha-4 chain-like,+2.05 (HF),Cytoskeleton,Actin filament binding; muscle contraction or cell structure.,Gunning et al. (2005) (Tropomyosin review)
142,LOC111342832,transmembrane protein 249-like,+3.95 (HF),Unknown,Transmembrane protein.,Inferred from Protein Family
143,LOC111330775,2-acylglycerol O-acyltransferase 1-like,+2.39 (HF),Lipid,Triglyceride synthesis; lipid storage.,Yen et al. (2008) (DGAT function)
144,LOC111320688,uncharacterized LOC111320688,+2.74 (HF),Unknown,Function unknown.,N/A
145,LOC111337453,uncharacterized LOC111337453,+2.80 (HF),Unknown,Function unknown.,N/A
146,LOC111322161,melanotransferrin-like,+1.48 (HF),Iron Transport,Iron binding/transport; antioxidant?,Richardson (2000) (Melanotransferrin function)
147,LOC111343643,uncharacterized LOC111343643,+2.50 (HF),Unknown,Function unknown.,N/A
148,LOC111340398,fascin-like,+1.48 (HF),Cytoskeleton,Actin bundling; filopodia formation.,Kureishy et al. (2002) (Fascin function)
149,LOC111339275,fibroblast growth factor receptor 1-like,+1.26 (HF),Signaling,FGFR signaling; cell proliferation/differentiation.,Ornitz & Itoh (2015) (FGF signaling)
150,LOC111345144,tyrosine-protein phosphatase Lar-like,+1.33 (HF),Signaling,Neural development; axon guidance.,Stoker (2001) (LAR PTPs in development)
151,LOC111331664,long-chain-fatty-acid--CoA ligase 4-like,+1.39 (HF),Lipid,Fatty acid metabolism (activation for breakdown or synthesis).,Soupene & Kuypers (2008) (ACSL family)
152,LOC111334640,uncharacterized LOC111334640,+1.78 (HF),Unknown,Function unknown.,N/A
153,LOC111333875,probable N-acetyltransferase CML1,+1.99 (HF),Metabolism,Acetylation of substrates.,Inferred from Protein Family
154,LOC111334156,uncharacterized LOC111334156,+1.14 (HF),Unknown,Function unknown.,N/A
155,LOC111338412,peroxidasin homolog,+1.98 (HF),Stress / ECM,Crosslinks collagen; uses H2O2.,Fidler et al. (2014)
156,LOC111339975,uncharacterized LOC111339975,+1.86 (HF),Unknown,Function unknown.,N/A
157,LOC111343773,short-chain collagen C4-like,+2.26 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
158,LOC111341530,uncharacterized LOC111341530,+1.50 (HF),Unknown,Function unknown.,N/A
159,LOC111322549,uncharacterized LOC111322549,+2.40 (HF),Unknown,Function unknown.,N/A
160,LOC111323999,uncharacterized LOC111323999,-1.26 (NF),Unknown,Function unknown.,N/A
161,LOC111324983,72 kDa type IV collagenase-like,+1.37 (HF),ECM Remodeling,MMP2; collagen degradation.,Massova et al. (1998)
162,LOC111341018,uncharacterized LOC111341018,+1.30 (HF),Unknown,Function unknown.,N/A
163,LOC111339600,uncharacterized LOC111339600,+2.30 (HF),Unknown,Function unknown.,N/A
164,LOC111333901,leucine-rich repeats and immunoglobulin-like domains protein 1,+2.16 (HF),Signaling,LRR/Ig domains; likely adhesion or receptor.,Schreiner et al. (2010) (LIG family)
165,LOC111318838,uncharacterized LOC111318838,+3.20 (HF),Unknown,Function unknown.,N/A
166,LOC111321759,laminin subunit gamma-1-like,+1.52 (HF),Structural,Basement membrane component.,Levy et al. (2021)
167,LOC111322311,ELKS/Rab6-interacting/CAST family member 1-like,+1.27 (HF),Transport,Vesicle trafficking; presynaptic active zone.,Ohtsuka et al. (2002) (CAST function)
168,LOC111336209,zinc finger CCHC domain-containing protein 24-like,+1.57 (HF),Gene Reg,RNA binding or regulation.,Inferred from Protein Family
169,LOC111332117,BMP-binding endothelial regulator protein-like,+2.31 (HF),Signaling,BMP signaling modulation.,Moser et al. (2003) (BMPER function)
170,LOC111333613,microtubule-associated protein futsch-like,+1.52 (HF),Cytoskeleton,Microtubule organization; neuronal.,Hummel et al. (2000) (Futsch in Drosophila)
171,LOC111337892,polycystic kidney disease protein 1-like 2,-1.29 (NF),Signaling,Mechanosensation; calcium signaling.,Vogler et al. (2006) (PKD1L2)
172,LOC111340608,lipoxygenase homology domain-containing protein 1-like,-1.18 (NF),Immunity,Lipid signaling (eicosanoids).,Kuhn & O'Donnell (2006) (Lipoxygenase review)
173,LOC111339663,uncharacterized LOC111339663,+1.82 (HF),Unknown,Function unknown.,N/A
174,LOC111346317,protein-glucosylgalactosylhydroxylysine glucosidase-like,+2.00 (HF),Metabolism,Collagen processing (post-translational modification).,Schechter et al. (2005) (PGGHG function)
175,LOC111327581,putative N-acetylated-alpha-linked acidic dipeptidase,+1.35 (HF),Metabolism,Peptidase.,Inferred from Protein Family
176,LOC111321847,centromere-associated protein E-like,+1.47 (HF),Cell Cycle,Mitosis; chromosome segregation.,Yen et al. (1992) (CENP-E function)
177,LOC111338418,mannan-binding lectin serine protease 1-like,+2.89 (HF),Immunity,Lectin pathway of complement activation.,Levy et al. (2021)
178,LOC111330767,filamin-A-like,+1.33 (HF),Cytoskeleton,Actin cross-linking.,Levy et al. (2021)
179,LOC111321709,retinal homeobox protein Rx1-like,-1.21 (NF),Development,Homeobox; eye development (in bilateria).,Mathers et al. (1997) (Rx homeobox function)
180,LOC111338651,uncharacterized LOC111338651,+2.48 (HF),Unknown,Function unknown.,N/A
181,LOC111338856,uncharacterized LOC111338856,-1.03 (NF),Unknown,Function unknown.,N/A
182,LOC111340366,sorting nexin-17-like,+1.28 (HF),Transport,Endosomal recycling.,Worby & Dixon (2002) (Sorting nexins)
183,LOC111328428,uncharacterized LOC111328428,-1.09 (NF),Unknown,Function unknown.,N/A
184,LOC111329225,uncharacterized LOC111329225,+2.95 (HF),Unknown,Function unknown.,N/A
185,LOC111322987,putative histone-lysine N-methyltransferase PRDM6,+1.20 (HF),Gene Reg,Epigenetic regulation (histone methylation).,Davis et al. (2006) (PRDM6 function)
186,LOC111323527,transient receptor potential cation channel subfamily M member 2-like,-1.14 (NF),Signaling,Ion channel (TRPM); oxidative stress sensing?,Hara et al. (2002) (TRPM2 and oxidative stress)
187,LOC111327334,fibrillin-3-like,+1.62 (HF),Structural,ECM microfibrils.,Corson et al. (2004) (Fibrillin-3)
188,LOC111324410,protein phosphatase 1 regulatory subunit 3B-B-like,-1.14 (NF),Signaling,Phosphatase regulation; glycogen metabolism.,Ceulemans & Bollen (2004) (PP1 regulation)
189,LOC111320751,collagen alpha-1(I) chain-like,+2.02 (HF),Calcification,Structural ECM/Skeleton component.,Levy et al. (2021)
190,LOC111325942,plexin domain-containing protein 2-like,-1.63 (NF),Signaling,Semaphorin receptor; axon guidance.,Tamagnone et al. (1999) (Plexins)
191,LOC111340820,uncharacterized LOC111340820,+1.34 (HF),Unknown,Function unknown.,N/A
192,LOC111345133,monocarboxylate transporter 10-like,+1.91 (HF),Metabolism,Lactate/Pyruvate transport.,Levy et al. (2021)
193,LOC111321665,uncharacterized LOC111321665,+2.16 (HF),Unknown,Function unknown.,N/A
194,LOC111336924,uncharacterized LOC111336924,-1.07 (NF),Unknown,Function unknown.,N/A
195,LOC111333911,thrombospondin-1-like,+2.57 (HF),Signaling,ECM glycoprotein; cell-matrix interaction/angiogenesis.,Levy et al. (2021)
196,LOC111342077,putative sodium-coupled neutral amino acid transporter 7,+2.23 (HF),Transport,Amino acid transport.,Mackenzie & Erickson (2004) (SNAT7 function)
