Category,Sub-Category,Morph,Gene Symbol,Description,LFC,Biological Function & Explanation,Reference
Calcification,Skeletal Matrix,HF,LOC111320821,collagen alpha-1(I) chain-like,1.83,Structural component.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111340891,collagen alpha-1(I) chain-like,1.4,Structural component.,Levy et al. (2021)
Calcification,Skeletal Matrix,HF,LOC111321489,collagen alpha-1(I) chain-like,1.34,Structural component.,Levy et al. (2021)
Cell Cycle,Mitosis,HF,LOC111321847,centromere-associated protein E-like,1.47,Mitosis; chromosome segregation.,Yen et al. (1992)
Cell Cycle,Mitosis,HF,LOC111320928,max dimerization protein 1-like,1.07,Transcription regulator.,Grandori et al. (2000)
Cell Cycle,Mitosis,NF,LOC111344195,chromosome alignment-maintaining phosphoprotein 1-like,-1.06,Mitosis.,Itoh et al. (2009)
Cell Growth,Proliferation,NF,LOC111328662,nucleolin-like,-1.31,Ribosome biogenesis; proliferation.,Levy et al. (2021)
Cilia,Movement,NF,LOC111331389,"dynein heavy chain 1, axonemal-like",-1.02,Ciliary movement.,Pfister et al. (2006)
Cilia,Movement,NF,LOC111331219,dynein heavy chain domain-containing protein 1-like,-1.13,Ciliary function.,Inferred from Protein Family
Cytoskeleton,Actin Binding,HF,LOC111336312,tropomyosin alpha-4 chain-like,2.05,Actin filament binding.,Gunning et al. (2005)
Cytoskeleton,Actin Binding,HF,LOC111330205,supervillin-like,1.88,Actin-binding; cell motility/adhesion.,Pollock et al. (2016)
Cytoskeleton,Actin Binding,HF,LOC111340398,fascin-like,1.48,Actin bundling.,Kureishy et al. (2002)
Cytoskeleton,Actin Binding,HF,LOC111330767,filamin-A-like,1.33,Actin cross-linking.,Levy et al. (2021)
Cytoskeleton,Actin Binding,HF,LOC111321894,gelsolin-like protein 2,1.16,Actin filament severing.,McGough et al. (2003)
Cytoskeleton,Actin Binding,HF,LOC111322259,coactosin-like protein,1.09,Actin filament binding.,Provost et al. (2001)
Cytoskeleton,Actin Binding,HF,LOC111325968,unconventional myosin-X-like,1.01,Myosin; filopodia formation.,Berg et al. (2000)
Cytoskeleton,Actin Binding,NF,LOC111328433,filamin-A-like,-1.41,Actin-binding.,Levy et al. (2021)
Cytoskeleton,Microtubule,HF,LOC111333613,microtubule-associated protein futsch-like,1.52,Microtubule organization; neuronal.,Hummel et al. (2000)
Cytoskeleton,Microtubule,NF,LOC111339304,echinoderm microtubule-associated protein-like 6,-1.15,Microtubule binding.,Suprenant et al. (2000)
DNA Regulation,Transposon,HF,LOC111343259,piggyBac transposable element-derived protein 4-like,1.82,Transposable element.,Sarkar et al. (2003)
Detoxification,Xenobiotic Metabolism,NF,LOC111332887,cytochrome P450 1A1-like,-1.64,Xenobiotic metabolism.,Goldstone et al. (2006)
Development,Differentiation,HF,LOC111327809,neurogenic locus notch homolog protein 3-like,3.11,Notch signaling; determines cell fate (neuron vs epidermal).,Levy et al. (2021) (Progenitors); Fischer et al. (2009)
Development,Differentiation,HF,LOC111329099,neurogenic locus notch homolog protein 1-like,1.97,Notch signaling; neurogenesis and differentiation.,Levy et al. (2021)
Development,Growth Regulation,HF,LOC111326942,protein CREG1-like,1.22,Growth regulation.,Veal et al. (2000)
Development,Patterning,HF,LOC111341087,homeobox protein Hox-B4a-like,3.66,Anterior-posterior patterning.,Veroff et al. (2017)
Development,Patterning,HF,LOC111327880,bone morphogenetic protein 1-like,3.48,BMP signaling; skeletal formation and patterning.,Zoccola et al. (2009)
Development,Patterning,HF,LOC111330631,homeobox protein SIX6-like,2.9,Transcription factor; anterior patterning.,Veroff et al. (2017)
Development,Patterning,HF,LOC111334416,kielin/chordin-like protein,2.87,BMP antagonist; regulates developmental patterning.,Lin et al. (2005)
Development,Patterning,HF,LOC111331301,zinc finger protein ZIC 2-like,2.8,Neural crest development.,Aruga (2004)
Development,Patterning,HF,LOC111340883,transcription factor Sox-21-B-like,2.08,Neurogenesis; Sox family.,Levy et al. (2021)
Development,Patterning,HF,LOC111333767,transcriptional activator GLI3-like,1.47,Hedgehog signaling effector.,Ruiz i Altaba (1999)
Development,Patterning,HF,LOC111343646,bone morphogenetic protein 7-like,1.38,BMP signaling.,Zoccola et al. (2009)
Development,Transcription Factor,HF,LOC111326654,homeobox protein GBX-2-like,2.6,CNS development/patterning.,Wassarman et al. (1997)
Development,Transcription Factor,HF,LOC111339122,homeobox protein BarH-like 2,2.3,Homeobox transcription factor.,Higashijima et al. (1992)
Development,Transcription Factor,HF,LOC111338776,pancreas/duodenum homeobox protein 1-like,2.19,Pdx1; endoderm patterning.,Jonsson et al. (1994)
Development,Transcription Factor,HF,LOC111344472,T-box transcription factor TBX10-like,1.92,Transcription factor.,Papaioannou (2001)
Development,Transcription Factor,NF,LOC111325851,paired box protein Pax-3-B-like,-1.03,Pax transcription factor.,Buckingham & Relaix (2007)
Development,Transcription Factor,NF,LOC111321709,retinal homeobox protein Rx1-like,-1.21,Homeobox; eye development (in bilateria).,Mathers et al. (1997)
Development,Transcription Factor,NF,LOC111328602,fork head domain-containing protein FD5-like,-1.58,Transcription factor.,Levy et al. (2021)
ECM Remodeling,Degradation,HF,LOC111324945,stromelysin-1-like,2.23,MMP3; degrades ECM components.,Nagase et al. (2006)
ECM Remodeling,Degradation,HF,LOC111333986,zinc metalloproteinase nas-4-like,1.9,ECM degradation/remodeling.,Park et al. (2010)
ECM Remodeling,Degradation,HF,LOC111324935,matrix metalloproteinase-25-like,1.64,ECM degradation.,Vandooren et al. (2013)
ECM Remodeling,Degradation,HF,LOC111324983,72 kDa type IV collagenase-like,1.37,MMP2; collagen degradation.,Massova et al. (1998)
ECM Remodeling,Degradation,HF,LOC111321308,A disintegrin and metalloproteinase with thrombospondin motifs 2-like,1.29,ADAMTS2; procollagen processing.,Colige et al. (1997)
ECM Remodeling,Degradation,HF,LOC111324993,72 kDa type IV collagenase-like,1.27,MMP2; degrades collagen IV.,Massova et al. (1998)
ECM Remodeling,Degradation,NF,LOC111325783,A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like,-1.3,ADAMTS; ECM processing.,Kelwick et al. (2015)
ECM Remodeling,Inhibition,HF,LOC111327625,tissue inhibitor of metalloproteinase-like,2.64,TIMP; regulates tissue damage.,Brew & Nagase (2010)
Energy / Lipid,Lipid Storage,HF,LOC111327082,major yolk protein-like,3.56,Precursor to vitellogenin; massive lipid storage for maternal investment.,Levy et al. (2021) (Gastrodermis marker)
Energy / Lipid,Lipid Storage,HF,LOC111321178,vitellogenin-like,1.27,Yolk protein; high maternal investment.,Levy et al. (2021); Guidugli et al. (2005)
Gene Reg,Epigenetics,HF,LOC111322526,putative histone-lysine N-methyltransferase PRDM6,2.5,Epigenetics.,Davis et al. (2006)
Gene Reg,Epigenetics,HF,LOC111343440,methyltransferase-like protein 25,1.88,Methylation.,Inferred from Protein Family
Gene Reg,Epigenetics,HF,LOC111322987,putative histone-lysine N-methyltransferase PRDM6,1.2,Epigenetic regulation.,Davis et al. (2006)
Gene Reg,RNA Regulation,HF,LOC111331736,proto-oncogene c-Fos-like,1.73,Transcription factor.,Curran & Franza (1988)
Gene Reg,RNA Regulation,HF,LOC111336209,zinc finger CCHC domain-containing protein 24-like,1.57,RNA binding/regulation.,Inferred from Protein Family
Gene Reg,RNA Regulation,HF,LOC111320938,mRNA decay activator protein ZFP36L1-like,1.34,RNA stability.,Baou et al. (2009)
Immunity,Complement,HF,LOC111323636,complement C3-like,3.77,Innate immunity.,Levy et al. (2021)
Immunity,Complement,HF,LOC111338418,mannan-binding lectin serine protease 1-like,2.89,Lectin pathway of complement activation.,Levy et al. (2021)
Immunity,Complement,HF,LOC111328748,complement C3-like,2.66,Innate immune system; marks pathogens for clearance.,Levy et al. (2021) (Immune cells)
Immunity,Complement,HF,LOC111328749,cobra venom factor-like,2.3,Complement homolog.,Levy et al. (2021)
Immunity,Processing,HF,LOC111322266,gamma-interferon-inducible lysosomal thiol reductase-like,1.99,Antigen processing (GILT).,Arunachalam et al. (2000)
Immunity,Processing,HF,LOC111322261,gamma-interferon-inducible lysosomal thiol reductase-like,1.88,Antigen processing (GILT).,Arunachalam et al. (2000)
Immunity,Protease Inhibitor,HF,LOC111327252,alpha-2-macroglobulin-like,2.05,Protease inhibitor.,Levy et al. (2021)
Immunity,Receptor,HF,LOC111334113,TNF receptor-associated factor 3-like,1.53,Signaling adapter for TNF receptors.,Hacker et al. (2011)
Immunity,Receptor,NF,LOC111336722,spondin-2-like,-1.0,Pattern recognition receptor; ECM protein.,He et al. (2004)
Immunity,Receptor,NF,LOC111340608,lipoxygenase homology domain-containing protein 1-like,-1.18,Lipid signaling (eicosanoids).,Kuhn & O'Donnell (2006)
Immunity,Receptor,NF,LOC111326885,allene oxide synthase-lipoxygenase protein-like,-1.26,Allene oxide pathway (prostaglandin-like).,Levy et al. (2021)
Immunity/Blood,Coagulation,HF,LOC111333478,coagulation factor V-like,1.86,Coagulation homolog.,Mann & Kalafatis (2003)
Immunity/Blood,Coagulation,HF,LOC111328207,prothrombin-like,1.76,Coagulation homolog.,Davie et al. (1991)
Immunity/Death,Apoptosis,HF,LOC111320728,tumor necrosis factor receptor superfamily member 10C-like,2.99,Decoy receptor; inhibits apoptosis?,Ashkenazi & Dixit (1998)
Immunity/Stress,Mucus,HF,LOC111329699,mucin-2-like,2.76,Mucus production.,Levy et al. (2021)
Immunity/Stress,Mucus,HF,LOC111341532,mucin-2-like,2.5,Mucus production.,Levy et al. (2021)
Immunity/Stress,Mucus,HF,LOC111341580,mucin-2-like,2.25,Mucus production; protection.,Levy et al. (2021) (Secretory cells)
Immunity/Stress,Mucus,HF,LOC111340596,mucin-like protein,1.43,Mucus production.,Levy et al. (2021)
Immunity/Viral,Antiviral,HF,LOC111332090,probable RNA-dependent RNA polymerase 1,1.96,Antiviral defense?,Ahlquist (2002)
Iron Metabolism,Transport,HF,LOC111328120,hephaestin-like protein,1.43,Copper-dependent ferroxidase; iron efflux.,Palmer et al. (2009)
Iron Transport,Transport,HF,LOC111322161,melanotransferrin-like,1.48,Iron binding/transport.,Richardson (2000)
Lipid,General,HF,LOC111335819,group XV phospholipase A2-like,2.14,Phospholipid metabolism/signaling.,Lambeau & Gelb (2008)
Lipid,General,HF,LOC111341830,very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2-like,2.0,Fatty acid elongation.,Jakobsson et al. (2006)
Lipid,General,HF,LOC111340194,lysosomal acid lipase/cholesteryl ester hydrolase-like,1.99,Lipid breakdown/energy use.,Levy et al. (2021)
Lipid,General,HF,LOC111346087,fatty acyl-CoA reductase 1-like,1.75,Fatty alcohol synthesis.,Cheng & Russell (2004)
Lipid,General,HF,LOC111323127,phospholipid phosphatase 1-like,1.56,Lipid signaling.,Sciorra & Morris (2002)
Lipid,General,HF,LOC111331664,long-chain-fatty-acid--CoA ligase 4-like,1.39,Fatty acid activation.,Soupene & Kuypers (2008)
Lipid,General,HF,LOC111340872,gastric triacylglycerol lipase-like,1.39,Fat digestion.,Carriere et al. (1994)
Lipid,General,HF,LOC111346320,long-chain-fatty-acid--CoA ligase 1-like,1.32,Fatty acid activation.,Soupene & Kuypers (2008)
Lipid,Lipid Storage,HF,LOC111330775,2-acylglycerol O-acyltransferase 1-like,2.39,Triglyceride synthesis.,Yen et al. (2008)
Lipid,Lipid Storage,HF,LOC111324979,putative diacyglycerol O-acyltransferase Mb2306,2.1,Synthesizes triglycerides (fat storage).,Yen et al. (2008)
Lipid/Signal,General,NF,LOC111331303,cytosolic phospholipase A2-like,-1.11,Arachidonic acid release; inflammation.,Leslie (2015)
Metabolism,Carbohydrate,HF,LOC111336425,beta-galactosidase-like,2.75,Carbohydrate metabolism.,UniProt Family (GLB1)
Metabolism,Energy,HF,LOC111345133,monocarboxylate transporter 10-like,1.91,Lactate/Pyruvate transport.,Levy et al. (2021)
Metabolism,Energy,HF,LOC111337259,monocarboxylate transporter 13-like,1.63,Lactate/Pyruvate transport.,Levy et al. (2021)
Metabolism,Energy,HF,LOC111330251,sodium-coupled monocarboxylate transporter 1-like,1.51,Lactate/Pyruvate transport.,Ganapathy et al. (2008)
Metabolism,Energy,HF,LOC111330589,monocarboxylate transporter 10-like,1.49,Energy mobilization (lactate/pyruvate).,Levy et al. (2021)
Metabolism,Energy,NF,LOC111336930,monocarboxylate transporter 10-like,-1.23,Lactate/Pyruvate transport.,Levy et al. (2021)
Metabolism,General,HF,LOC111325264,endothelin-converting enzyme homolog,2.58,Protease; peptide hormone processing.,Turner & Tanzawa (1997)
Metabolism,General,HF,LOC111321502,endothelin-converting enzyme homolog,1.69,Protease.,Turner & Tanzawa (1997)
Metabolism,Glycan,HF,LOC111337168,di-N-acetylchitobiase-like,1.26,Glycan processing.,Aronson et al. (1989)
Metabolism,Glycoprotein,HF,LOC111329016,lysosomal alpha-mannosidase-like,1.02,Glycoprotein degradation.,Moremen (2002)
Metabolism,Nucleotide,HF,LOC111327802,ribose-phosphate pyrophosphokinase 2-like,2.06,Nucleotide synthesis.,Becker et al. (1996)
Metabolism,Peptidase,HF,LOC111344752,dipeptidyl peptidase 1-like,2.54,Cathepsin C.,Turk et al. (2001)
Metabolism,Peptidase,HF,LOC111338999,linear gramicidin synthase subunit D-like,2.53,Peptide synthesis (non-ribosomal).,Inferred from Protein Family
Metabolism,Peptidase,HF,LOC111320952,trypsin-like,2.17,Protease.,Inferred from Protein Family
Metabolism,Peptidase,HF,LOC111327581,putative N-acetylated-alpha-linked acidic dipeptidase,1.35,Peptidase.,Inferred from Protein Family
Metabolism,Peptidase,HF,LOC111333695,cathepsin B-like,1.18,Lysosomal protease.,Mort & Buttle (1997)
Metabolism,Processing,HF,LOC111326544,proprotein convertase subtilisin/kexin type 4-like,3.67,Proprotein processing.,Mbikay et al. (1997)
Metabolism,Processing,HF,LOC111343452,proprotein convertase subtilisin/kexin type 5-like,2.33,Activates precursor proteins (growth factors/toxins).,Levy et al. (2021)
Metabolism,Processing,HF,LOC111343451,proprotein convertase subtilisin/kexin type 5-like,2.19,Proprotein processing.,Mbikay et al. (1997)
Metabolism,Processing,HF,LOC111346317,protein-glucosylgalactosylhydroxylysine glucosidase-like,2.0,Collagen processing.,Schechter et al. (2005)
Metabolism,Processing,HF,LOC111333875,probable N-acetyltransferase CML1,1.99,Acetylation.,Inferred from Protein Family
Metabolism,Processing,NF,LOC111322597,D-amino-acid oxidase-like,-1.16,Oxidizes D-amino acids; produces H2O2.,Pollegioni et al. (2007)
Metabolism,Sulfatase,HF,LOC111321463,arylsulfatase J-like,2.29,Sulfatase.,Hanson et al. (2004)
Metabolism,Vitamin,HF,LOC111345835,riboflavin-binding protein-like,3.1,"Transport of Vitamin B2 (Riboflavin), essential for FAD/FMN in respiration.",UniProt P02752
Metabolism,Vitamin,HF,LOC111331279,gastric intrinsic factor-like,1.75,Vitamin B12 absorption.,Alpers & Russell-Jones (2013)
Metabolism,Vitamin,HF,LOC111325560,gamma-glutamyl hydrolase-like,1.2,Folate metabolism.,Levy et al. (2021)
Nervous System,Development,HF,LOC111324621,neuronal pentraxin-1-like,3.05,Synaptic remodeling.,Kovács et al. (2020)
Nervous System,Development,HF,LOC111330856,cysteine-rich motor neuron 1 protein-like,2.98,Motor neuron development.,UniProt Family (CRIM1)
Nervous System,Development,HF,LOC111332158,neural cell adhesion molecule 2-like,2.31,Cell adhesion; synaptic plasticity.,Winther et al. (2012)
Nervous System,Development,HF,LOC111343966,agrin-like,1.82,Neuromuscular junction formation.,Bezakova & Ruegg (2003)
Nervous System,Development,HF,LOC111328589,agrin-like,1.76,Synaptic basal lamina.,Bezakova & Ruegg (2003)
Nervous System,Development,HF,LOC111337124,failed axon connections homolog,1.53,Axon guidance.,UniProt Family (Fax protein)
Nervous System,Development,HF,LOC111330961,calretinin-like,1.23,Calcium-binding protein.,Rogers (1987)
Nervous System,Receptor,HF,LOC111343017,glycine receptor subunit alphaZ1-like,2.0,Neurotransmitter receptor.,Lynch (2004)
Nervous System,Receptor,NF,LOC111325186,gamma-aminobutyric acid type B receptor subunit 2-like,-1.43,GABA receptor (inhibitory).,Gassmann et al. (2004)
Phenotype,Fluorescence,HF,LOC111346784,GFP-like fluorescent chromoprotein amFP486,4.76,The fluorescent protein itself.,Alieva et al. (2008)
Phenotype,Fluorescence,HF,LOC111344518,GFP-like fluorescent chromoprotein amFP486,4.19,Fluorescent protein variant.,Alieva et al. (2008)
Protein Reg,Degradation,NF,LOC111330113,E3 ubiquitin-protein ligase RGLG5-like,-1.76,Ubiquitination.,Inferred from Protein Family
Protein Reg,Degradation,NF,LOC111338573,E3 ubiquitin-protein ligase TRIM71-like,-2.04,Ubiquitination; stem cell maintenance.,Rybak et al. (2009)
RNA Editing,Processing,HF,LOC111343122,APOBEC1 complementation factor-like,2.6,RNA editing complex; modifies mRNA transcripts.,Lellek et al. (2000)
Signaling,Adhesion,HF,LOC111332732,CUB and sushi domain-containing protein 1-like,2.38,Adhesion/Signaling.,Drake et al. (2013)
Signaling,Adhesion,HF,LOC111345232,CUB and sushi domain-containing protein 3-like,2.22,Peptidase/Adhesion domains.,Mass et al. (2013) (Skeletal matrix)
Signaling,Adhesion,HF,LOC111332747,CUB and sushi domain-containing protein 3-like,1.8,Adhesion/Signaling.,Mass et al. (2013)
Signaling,Adhesion,NF,LOC111335366,SH3 and PX domain-containing protein 2A-like,-1.44,Adhesion/Migration.,Tehrani et al. (2006)
Signaling,Developmental,HF,LOC111328393,epithelial discoidin domain-containing receptor 1-like,3.09,Collagen receptor; regulates cell attachment to the skeleton/ECM.,Vogel et al. (1997)
Signaling,Developmental,HF,LOC111328024,extracellular sulfatase Sulf-1-like,2.35,Modulates Wnt/BMP signaling by modifying ECM heparan sulfate.,Dhoot et al. (2001)
Signaling,Developmental,HF,LOC111332117,BMP-binding endothelial regulator protein-like,2.31,BMP signaling modulation.,Moser et al. (2003)
Signaling,Developmental,HF,LOC111334934,transforming growth factor-beta-induced protein ig-h3-like,2.25,Cell adhesion; TGF-beta response.,Thapa et al. (2007)
Signaling,Developmental,HF,LOC111344634,growth arrest-specific protein 1-like,1.89,Hedgehog signaling antagonist.,Martinelli & Fan (2007)
Signaling,Developmental,HF,LOC111336934,latent-transforming growth factor beta-binding protein 3-like,1.83,TGF-beta regulation.,Robertson et al. (2015)
Signaling,GPCR,HF,LOC111342654,adenosine receptor A3-like,5.21,GPCR; metabolic/stress sensing.,Gessi et al. (2008)
Signaling,GPCR,HF,LOC111323945,orexin receptor type 1-like,3.9,GPCR; sensing cues.,Koch et al. (2021)
Signaling,GPCR,HF,LOC111324532,trace amine-associated receptor 7h-like,2.45,GPCR; sensory receptor?,Berry (2004)
Signaling,GPCR,HF,LOC111320921,histamine H2 receptor-like,2.27,GPCR; neurotransmission.,Hill et al. (1997)
Signaling,GPCR,NF,LOC111339822,alpha-2A adrenergic receptor-like,-1.05,GPCR; neurotransmitter receptor.,Hein (2006)
Signaling,General,HF,LOC111340635,angiopoietin-related protein 7-like,3.96,Vascular remodeling/ECM.,UniProt Family (ANGPTL7)
Signaling,General,HF,LOC111333911,thrombospondin-1-like,2.57,ECM glycoprotein.,Levy et al. (2021)
Signaling,General,HF,LOC111335321,lactadherin-like,2.41,Phagocytosis.,Hanayama et al. (2002)
Signaling,General,HF,LOC111333901,leucine-rich repeats and immunoglobulin-like domains protein 1,2.16,LRR/Ig domains; adhesion/receptor.,Schreiner et al. (2010)
Signaling,General,HF,LOC111322853,junctophilin-3-like,1.71,Calcium signaling.,Takeshima et al. (2000)
Signaling,General,NF,LOC111337892,polycystic kidney disease protein 1-like 2,-1.29,Mechanosensation; calcium signaling.,Vogler et al. (2006)
Signaling,General,NF,LOC111330877,signal transducing adapter molecule 2-like,-1.44,Endosomal sorting.,Endo et al. (2000)
Signaling,General,NF,LOC111325942,plexin domain-containing protein 2-like,-1.63,Semaphorin receptor; axon guidance.,Tamagnone et al. (1999)
Signaling,Hormone,HF,LOC111327418,probable indole-3-acetic acid-amido synthetase GH3.9,3.18,Auxin-like metabolism (Symbiosis?).,Staswick et al. (2005)
Signaling,Hormone,HF,LOC111325642,inhibin beta B chain-like,1.89,TGF-beta family; regulates cell growth.,Vale et al. (1986)
Signaling,Kinase,HF,LOC111328517,ras-associated and pleckstrin homology domains-containing protein 1-like,1.16,Ras signaling.,Inferred from Protein Family
Signaling,Kinase,NF,LOC111323092,palmitoyltransferase AKR1-like,-2.48,Protein palmitoylation.,UniProt Family (DHHC)
Signaling,Other,HF,LOC111324192,angiopoietin-1 receptor-like,2.04,Receptor tyrosine kinase; vascular/tissue development.,Davis et al. (1996)
Signaling,Other,HF,LOC111321593,atrial natriuretic peptide receptor 1-like,1.54,Guanylate cyclase receptor.,Potter et al. (2006)
Signaling,Phosphatase,HF,LOC111345144,tyrosine-protein phosphatase Lar-like,1.33,Neural development; axon guidance.,Stoker (2001)
Signaling,Phosphatase,NF,LOC111324410,protein phosphatase 1 regulatory subunit 3B-B-like,-1.14,Phosphatase regulation.,Ceulemans & Bollen (2004)
Signaling,Receptor,HF,LOC111319860,low-density lipoprotein receptor-related protein 6-like,3.2,Wnt co-receptor.,Tamai et al. (2000)
Signaling,Receptor,HF,LOC111338211,MAM and LDL-receptor class A domain-containing protein 1-like,2.78,Receptor.,Mass et al. (2013)
Signaling,Receptor,HF,LOC111320024,MAM and LDL-receptor class A domain-containing protein 1-like,2.75,Cell surface receptor.,Mass et al. (2013)
Signaling,Receptor,HF,LOC111323862,inactive tyrosine-protein kinase transmembrane receptor ROR1-like,2.63,Wnt/ROR signaling; patterning.,Levy et al. (2021)
Signaling,Receptor,HF,LOC111338219,MAM and LDL-receptor class A domain-containing protein 1-like,2.5,Receptor.,Mass et al. (2013)
Signaling,Receptor,HF,LOC111346592,MAM and LDL-receptor class A domain-containing protein 1-like,2.38,Receptor; signaling/endocytosis.,Mass et al. (2013)
Signaling,Receptor,HF,LOC111342023,receptor-type tyrosine-protein phosphatase epsilon-like,1.68,Cell signaling regulation.,Andersen et al. (2001)
Signaling,Receptor,HF,LOC111339275,fibroblast growth factor receptor 1-like,1.26,FGFR signaling; proliferation.,Ornitz & Itoh (2015)
Signaling,Receptor,HF,LOC111340901,growth factor receptor-bound protein 14-like,1.18,Insulin signaling adapter.,Holt & Siddle (2005)
Signaling,Receptor,NF,LOC111336974,low-density lipoprotein receptor-related protein 8-like,-1.08,Reelin signaling; neuronal migration.,Herz & Chen (2006)
Signaling,Receptor,NF,LOC111323527,transient receptor potential cation channel subfamily M member 2-like,-1.14,Ion channel (TRPM); oxidative stress sensing.,Hara et al. (2002)
Stress,Antioxidant,HF,LOC111346891,heme-binding protein 2-like,3.03,Binds heme/porphyrins; antioxidant.,Ishikawa et al. (2005)
Stress,Antioxidant,HF,LOC111329754,soma ferritin-like,2.9,Iron sequestration; antioxidant.,Palmer et al. (2009)
Stress,Antioxidant,HF,LOC111323093,selenoprotein Pb-like,1.76,Selenoprotein; antioxidant defense.,Labunskyy et al. (2014)
Stress,Antioxidant,HF,LOC111329755,soma ferritin-like,1.72,Sequesters iron; antioxidant.,Palmer et al. (2009)
Stress,Antioxidant,HF,LOC111340887,apoptosis regulator R1-like,1.31,Regulates cell death.,Levy et al. (2021)
Stress,Antioxidant,HF,LOC111336999,tumor protein p53-inducible nuclear protein 1-like,1.05,Oxidative stress response.,Tomasini et al. (2005)
Stress,Chaperone,HF,LOC111327303,temperature-induced lipocalin-1-like,1.8,Lipid binding; membrane protection in heat stress.,Kenkel et al. (2013)
Stress,Response,HF,LOC111336667,cell wall integrity and stress response component 4-like,3.11,Stress response?,Inferred from Protein Family
Stress / ECM,Crosslinking,HF,LOC111336303,peroxidasin-like,2.54,Crosslinks collagen in the ECM; antioxidant role.,Fidler et al. (2014)
Stress / ECM,Crosslinking,HF,LOC111338412,peroxidasin homolog,1.98,Crosslinks collagen; H2O2 usage.,Fidler et al. (2014)
Stress / ECM,Crosslinking,NF,LOC111322400,peroxidasin homolog,-1.51,Crosslinks collagen; H2O2 usage.,Fidler et al. (2014)
Stress/Immunity,Mucus,NF,LOC111341825,cytochrome b-245 heavy chain-like,-1.35,NADPH oxidase component; ROS generation.,Babior (1999)
Structural,ECM,HF,LOC111331324,fibulin-1-like,3.29,ECM protein.,Inferred from Protein Family
Structural,ECM,HF,LOC111339268,keratin-associated protein 10-6-like,2.74,Cytoskeleton/Structure?,Inferred from Protein Family
