ChamberNo,Date,Temp,pH,Light,fluorescense level,Planula start number,Settled,setteled %,Dead %,,,,,,,,,,,,,,,,
2,07/04/2024,23,8.2,10m,Partial fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
5,07/04/2024,23,8.2,10m,Partial fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
8,07/04/2024,23,8.2,10m,Partial fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
95,07/04/2024,23,8.2,10m,Partial fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
98,07/04/2024,23,8.2,10m,Partial fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
35,07/04/2024,23,8.2,10m,Partial fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
38,07/04/2024,23,8.2,10m,Partial fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
41,07/04/2024,23,8.2,10m,Partial fluorescense,10,6,60,40,,,,,,,,,,,,,,,,
117,08/04/2025,23,8.2,10m,High fluorescense ,10,6,60,40,,,,,,,,,,,,,,,,
118,08/04/2025,23,8.2,10m,High fluorescense ,10,3,30,70,,,,,,,,,,,,,,,,
119,08/04/2025,23,8.2,10m,High fluorescense ,10,4,40,60,,,,,,,,,,,,,,,,
120,08/04/2025,23,8.2,10m,High fluorescense ,10,4,40,60,,,,,,,,,,,,,,,,
121,08/04/2025,23,8.2,10m,High fluorescense ,10,7,70,30,,,,,,,,,,,,,,,,
122,08/04/2025,23,8.2,10m,No fluorescense,10,1,10,90,,,,,,,,,,,,,,,,
123,08/04/2025,23,8.2,10m,No fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
124,08/04/2025,23,8.2,10m,No fluorescense,10,7,70,30,,,,,,,,,,,,,,,,
125,08/04/2025,23,8.2,10m,No fluorescense,10,3,30,70,,,,,,,,,,,,,,,,
126,08/04/2025,23,8.2,10m,No fluorescense,10,4,40,60,,,,,,,,,,,,,,,,
130,14/05/2025,23,7.8,10m,High fluorescense ,10,2,20,80,,,,,,,,,,,,,,,,
131,14/05/2025,23,7.8,10m,High fluorescense ,10,7,70,30,,,,,,,,,,,,,,,,
132,14/05/2025,23,7.8,10m,High fluorescense ,10,4,40,60,,,,,,,,,,,,,,,,
133,14/05/2025,23,7.8,10m,High fluorescense ,10,6,60,40,,,,,,,,,,,,,,,,
134,14/05/2025,23,7.8,10m,High fluorescense ,10,5,50,50,,,,,,,,,,,,,,,,
135,14/05/2025,23,7.8,10m,No fluorescense,10,2,20,80,,,,,,,,,,,,,,,,
136,14/05/2025,23,7.8,10m,No fluorescense,10,2,20,80,,,,,,,,,,,,,,,,
137,14/05/2025,23,7.8,10m,No fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
138,14/05/2025,23,7.8,10m,No fluorescense,10,4,40,60,,,,,,,,,,,,,,,,
139,14/05/2025,23,7.8,10m,No fluorescense,10,5,50,50,,,,,,,,,,,,,,,,
140,14/05/2025,23,7.6,10m,High fluorescense ,10,3,30,70,,,,,,,,,,,,,,,,
141,14/05/2025,23,7.6,10m,High fluorescense ,10,3,30,70,,,,,,,,,,,,,,,,
142,14/05/2025,23,7.6,10m,High fluorescense ,10,6,60,40,,,,,,,,,,,,,,,,
143,14/05/2025,23,7.6,10m,High fluorescense ,10,3,30,70,,,,,,,,,,,,,,,,
144,14/05/2025,23,7.6,10m,High fluorescense ,10,6,60,40,,,,,,,,,,,,,,,,
145,14/05/2025,23,7.6,10m,No fluorescense,10,0,0,100,,,,,,,,,,,,,,,,
146,14/05/2025,23,7.6,10m,No fluorescense,10,3,30,70,,,,,,,,,,,,,,,,
147,14/05/2025,23,7.6,10m,No fluorescense,10,3,30,70,,,,,,,,,,,,,,,,
148,14/05/2025,23,7.6,10m,No fluorescense,10,1,10,90,,,,,,,,,,,,,,,,
149,14/05/2025,23,7.6,10m,No fluorescense,10,3,30,70,,,,,,,,,,,,,,,,
150,14/05/2025,23,8.2,10m,High fluorescense ,10,0,0,100,,,,,,,,,,,,,,,,
151,14/05/2025,23,8.2,10m,High fluorescense ,10,6,60,40,,,,,,,,,,,,,,,,
152,14/05/2025,23,8.2,10m,High fluorescense ,10,7,70,30,,,,,,,,,,,,,,,,
153,14/05/2025,23,8.2,10m,High fluorescense ,10,7,70,30,,,,,,,,,,,,,,,,
154,14/05/2025,23,8.2,10m,High fluorescense ,10,6,60,40,,,,,,,,,,,,,,,,
155,14/05/2025,23,8.2,10m,No fluorescense,10,4,40,60,,,,,,,,,,,,,,,,
156,14/05/2025,23,8.2,10m,No fluorescense,10,5,50,50,,,,,,,,,,,,,,,,
157,14/05/2025,23,8.2,10m,No fluorescense,10,3,30,70,,,,,,,,,,,,,,,,
158,14/05/2025,23,8.2,10m,No fluorescense,10,4,40,60,,,,,,,,,,,,,,,,
159,14/05/2025,23,8.2,10m,No fluorescense,10,2,20,80,,,,,,,,,,,,,,,,
