date,SampleCode,plate,area mm^2,morph,temp,pH,LightDepth,OxyRate nmol/mm2/min
08/04/2024,plateA_HF_27C_1,plateA,1.292,HF,23,8.2,10m,0.8202
08/04/2025,plateE_HF_control_15,plateE,2.273,HF,23,8.2,10m,0.8202
08/04/2025,plateE_HF_control_8,plateE,3.69,HF,23,8.2,10m,0.8139
08/04/2025,plateE_HF_control_3,plateE,1.621,HF,23,8.2,10m,0.8032
14/05/2025,plateC_HF_8.2_11,plateC,3.993,HF,23,8.2,10m,0.801502664
27/05/2023,high_Flu_polyp,plate 1,0.529,HF,23,8.2,10m,0.800125567
27/05/2023,high_Flu_polyp,plate 1,1.141,HF,23,8.2,10m,0.784896955
14/05/2025,plateD_NF_8.2_10,plateD,2.767,NF,23,8.2,10m,0.773673047
08/04/2025,plateE_NF_control_1,plateE,1.603,NF,23,8.2,10m,0.7711
08/04/2024,plateA_HF_27C_2,plateA,6.021,HF,23,8.2,10m,0.771086707
08/04/2025,plateE_NF_control_2,plateE,1.833,NF,23,8.2,10m,0.7475
08/04/2024,plateF_NF_control_5,plateF,1.623,NF,23,8.2,10m,0.7466
08/04/2025,plateE_HF_control_10,plateE,4.181,HF,23,8.2,10m,0.7466
08/04/2025,plateE_HF_control_11,plateE,2.271,HF,23,8.2,10m,0.7319
07/04/2024,plate2_4c,plate 2,2.422,HF,23,8.2,10m,0.727267515
08/04/2025,plateE_HF_control_13,plateE,2.162,HF,23,8.2,10m,0.7214
08/04/2024,plateF_NF_control_1,plateF,2.205,NF,23,8.2,10m,0.7214
07/04/2024,plate4_41c,plate 4,4.331,PF,23,8.2,10m,0.705111364
14/05/2025,plateC_HF_8.2_6,plateC,2.916,HF,23,8.2,10m,0.691024227
08/04/2025,plateE_HF_control_1,plateE,2.118,HF,23,8.2,10m,0.6823
08/04/2025,plateE_HF_control_8,plateE,3.69,HF,23,8.2,10m,0.6511
08/04/2024,plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,0.6426
08/04/2025,plateE_HF_control_3,plateE,1.621,HF,23,8.2,10m,0.6426
07/04/2024,plate4_41a,plate 4,2.895,PF,23,8.2,10m,0.638675245
14/05/2025,plateD_NF_8.2_9,plateD,3.367,NF,23,8.2,10m,0.628967328
14/05/2025,plateC_HF_8.2_5,plateC,4.105,HF,23,8.2,10m,0.620949992
14/05/2025,plateD_NF_8.2_10,plateD,2.767,NF,23,8.2,10m,0.618938438
11/06/2024,plate1_38e,plate 1,2.474,PF,23,8.2,10m,0.60021799
14/05/2025,plateC_HF_8.2_12,plateC,5.988,HF,23,8.2,10m,0.598889216
08/04/2025,plateE_NF_control_2,plateE,1.833,NF,23,8.2,10m,0.598
08/04/2024,plateA_HF_27C_9,plateA,1.89,HF,23,8.2,10m,0.598
08/04/2025,plateE_HF_control_11,plateE,2.271,HF,23,8.2,10m,0.5855
08/04/2024,plateA_HF_27C_7,plateA,6.002,HF,23,8.2,10m,0.585507239
25/07/2023,med_Flu_polyp_7,plate 1,0.681,NF,23,8.2,10m,0.574239312
14/05/2025,plateC_HF_8.2_1,plateC,4.169,HF,23,8.2,10m,0.548897252
08/04/2024,plateA_HF_27C_8,plateA,1.325,HF,23,8.2,10m,0.5459
08/04/2025,plateE_HF_control_1,plateE,2.118,HF,23,8.2,10m,0.5459
07/04/2024,plate2_4b,plate 2,10.467,HF,23,8.2,10m,0.53615193
07/04/2024,plate4_41b,plate 4,4.18,PF,23,8.2,10m,0.532562667
14/05/2025,plateD_NF_8.2_9,plateD,3.367,NF,23,8.2,10m,0.503173862
14/05/2025,plateC_HF_8.2_5,plateC,4.105,HF,23,8.2,10m,0.496759994
27/05/2023,med_Flu_polyp,plate 1,1.157,PF,23,8.2,10m,0.493558561
07/04/2024,plate2_5a,plate 2,2.966,PF,23,8.2,10m,0.480044918
14/05/2025,plateC_HF_8.2_12,plateC,5.988,HF,23,8.2,10m,0.479111373
27/05/2023,med_Flu_polyp,plate 1,0.693,PF,23,8.2,10m,0.477353385
14/05/2025,plateC_HF_8.2_4,plateC,3.461,HF,23,8.2,10m,0.472343087
14/05/2025,plateC_HF_8.2_3,plateC,3.147,HF,23,8.2,10m,0.462068198
14/05/2025,plateC_HF_8.2_1,plateC,4.169,HF,23,8.2,10m,0.439117802
07/04/2024,plate1_97a,plate 1,2.838,HF,23,8.2,10m,0.437272762
07/04/2024,plate5_41f,plate 5,4.665,PF,23,8.2,10m,0.390427101
14/05/2025,plateC_HF_8.2_4,plateC,3.461,HF,23,8.2,10m,0.37787447
14/05/2025,plateC_HF_8.2_3,plateC,3.147,HF,23,8.2,10m,0.369654558
11/06/2024,plate1_38c,plate 1,4.799,PF,23,8.2,10m,0.366447472
08/04/2025,plateE_HF_control_5,plateE,2.182,HF,23,8.2,10m,0.3587
27/05/2023,med_Flu_polyp,plate 1,1.385,PF,23,8.2,10m,0.336041533
27/05/2023,med_Flu_polyp,plate 1,0.596,PF,23,8.2,10m,0.335438959
25/07/2023,med_Flu_polyp_8,plate 1,0.771,PF,23,8.2,10m,0.319012201
08/04/2025,plateF_NF_control_5,plateF,1.623,NF,23,8.2,10m,0.3059
08/04/2025,plateE_HF_control_5,plateE,2.182,HF,23,8.2,10m,0.2869
08/04/2024,plateF_NF_control_4,plateF,3.582,NF,23,8.2,10m,0.2869
07/04/2024,plate1_7d,plate 1,4.698,HF,23,8.2,10m,0.248127126
07/04/2024,plate1_9b,plate 1,5.596,NF,23,8.2,10m,0.245715747
08/04/2025,plateF_NF_control_5,plateF,1.623,NF,23,8.2,10m,0.2447
08/04/2024,plateB_NF_27C_13,plateB,5.307,NF,23,8.2,10m,0.244685644
08/04/2025,plateF_NF_control_7,plateF,1.971,NF,23,8.2,10m,0.2349
07/04/2024,plate5_41d,plate 5,3.806,PF,23,8.2,10m,0.227970737
11/06/2024,plate1_38b,plate 1,2.352,PF,23,8.2,10m,0.208062037
08/04/2025,plateF_NF_control_1,plateF,2.205,NF,23,8.2,10m,0.189
08/04/2025,plateF_NF_control_7,plateF,1.971,NF,23,8.2,10m,0.1879
08/04/2024,plateA_HF_27C_6,plateA,2.514,HF,23,8.2,10m,0.1879
07/04/2024,plate2_99a,plate 2,4.548,NF,23,8.2,10m,0.171618923
07/04/2024,plate4_35a,plate 4,4.249,PF,23,8.2,10m,0.17035588
08/04/2025,plateF_NF_control_3,plateF,2.351,NF,23,8.2,10m,0.1588
08/04/2024,plateA_HF_27C_1,plateA,1.292,HF,23,8.2,10m,0.1512
08/04/2025,plateF_NF_control_1,plateF,2.205,NF,23,8.2,10m,0.1512
07/04/2024,plate2_4d,plate 2,5.016,HF,23,8.2,10m,0.133106486
11/06/2024,plate1_38d,plate 1,3.622,PF,23,8.2,10m,0.130141245
08/04/2025,plateF_NF_control_3,plateF,2.351,NF,23,8.2,10m,0.127
08/04/2024,plateB_NF_27C_3,plateB,3.536,NF,23,8.2,10m,0.127
08/04/2025,plateE_HF_control_2,plateE,1.18,HF,23,8.2,10m,0.1252
27/05/2023,high_Flu_polyp,plate 1,0.958,HF,23,8.2,10m,0.122043797
11/06/2024,plate1_36a,plate 1,4.611,NF,23,8.2,10m,0.113460242
07/04/2024,plate5_41e,plate 5,8.723,PF,23,8.2,10m,0.111566957
11/06/2024,plate1_38a,plate 1,2.885,PF,23,8.2,10m,0.109608566
11/06/2024,plate1_38f,plate 1,2.925,PF,23,8.2,10m,0.102183258
08/04/2025,plateE_HF_control_2,plateE,1.18,HF,23,8.2,10m,0.1002
08/04/2024,plateA_HF_27C_4,plateA,4.247,HF,23,8.2,10m,0.1002
07/04/2024,plate4_35b,plate 4,3.344,PF,23,8.2,10m,0.099393135
07/04/2024,plate1_7b,plate 1,5.183,HF,23,8.2,10m,0.078445464
07/04/2024,plate1_9a,plate 1,5.535,NF,23,8.2,10m,0.036522964
07/04/2024,plate1_7c,plate 1,5.047,HF,23,8.2,10m,0.032041253
08/04/2025,plateE_HF_control_14,plateE,2.189,HF,23,8.2,10m,0.0313
07/04/2024,plate2_96c,plate 2,4.624,NF,23,8.2,10m,0.028813599
08/04/2025,plateE_HF_control_14,plateE,2.189,HF,23,8.2,10m,0.025
08/04/2024,plateF_NF_control_3,plateF,2.351,NF,23,8.2,10m,0.025
07/04/2024,plate1_3a,plate 1,2.212,NF,23,8.2,10m,0.024418531
07/04/2024,plate2_96d,plate 2,5.925,NF,23,8.2,10m,0.016802198
07/04/2024,plate2_96b,plate 2,2.478,NF,23,8.2,10m,0.016079711
07/04/2024,plate2_5f,plate 2,4.111,PF,23,8.2,10m,0.0118
07/04/2024,plate1_6b,plate 1,3.675,NF,23,8.2,10m,0.010059366
07/04/2024,plate2_5d,plate 2,4.955,PF,23,8.2,10m,0.005922256
07/04/2024,plate2_5e,plate 2,5.076,PF,23,8.2,10m,0.004878325
27/05/2023,med_Flu_polyp,plate 1,0.871,PF,23,8.2,10m,0.000106077
07/04/2024,plate2_96e,plate 2,2.93,NF,23,8.2,10m,1.0562
08/04/2025,plateB_HF_27C_3,plateB,1.676,HF,27,8.2,10m,0.6893
11/06/2024,plate2_16c,plate 2,1.092,HF,27,8.2,10m,0.6666
08/04/2024,plateD_NF_50m_5,plateD,4.003,NF,27,8.2,10m,0.5514
11/06/2024,plate2_62a,plate 2,1.836,PF,27,8.2,10m,0.5457
11/06/2024,plate1_64b,plate 1,5.983,HF,27,8.2,10m,0.5407
08/04/2025,plateB_NF_27C_13,plateB,5.307,NF,27,8.2,10m,0.5353
08/04/2025,plateB_HF_27C_2,plateB,2.896,HF,27,8.2,10m,0.5128
11/06/2024,plate1_12b,plate 1,2.569,NF,27,8.2,10m,0.4978
08/04/2025,plateC_NF_27C_2,plateC,2.062,NF,27,8.2,10m,0.4928
08/04/2025,plateA_HF_27C_1,plateA,1.292,HF,27,8.2,10m,0.4884
11/06/2024,plate2_16b,plate 2,1.597,HF,27,8.2,10m,0.4694
11/06/2024,plate1_64a,plate 1,1.934,HF,27,8.2,10m,0.4589
08/04/2025,plateB_NF_27C_6,plateB,4.532,NF,27,8.2,10m,0.4302
08/04/2024,plateD_NF_50m_2,plateD,1.191,NF,27,8.2,10m,0.4283
11/06/2024,plate1_64c,plate 1,4.416,HF,27,8.2,10m,0.4143
08/04/2024,plateD_NF_50m_7,plateD,8.495,NF,27,8.2,10m,0.4103
08/04/2024,plateC_HF_50m_5,plateC,3.959,HF,27,8.2,10m,0.3907
11/06/2024,plate1_12a,plate 1,1.407,NF,27,8.2,10m,0.3895
08/04/2025,plateB_NF_27C_10,plateB,1.372,NF,27,8.2,10m,0.3882
08/04/2025,plateC_NF_27C_4,plateC,2.397,NF,27,8.2,10m,0.3075
08/04/2025,plateB_NF_27C_8,plateB,1.603,NF,27,8.2,10m,0.2994
08/04/2025,plateA_HF_27C_3,plateA,3.812,HF,27,8.2,10m,0.2735
08/04/2025,plateB_NF_27C_5,plateB,2.969,NF,27,8.2,10m,0.256
08/04/2025,plateB_NF_27C_9,plateB,1.932,NF,27,8.2,10m,0.2517
08/04/2024,plateD_NF_50m_6,plateD,1.684,NF,27,8.2,10m,0.2395
08/04/2025,plateA_HF_27C_7,plateA,6.002,HF,27,8.2,10m,0.2381
08/04/2025,plateA_HF_27C_6,plateA,2.514,HF,27,8.2,10m,0.2225
08/04/2024,plateD_NF_50m_8,plateD,5.511,NF,27,8.2,10m,0.2014
11/06/2024,plate2_16a,plate 2,8.45,HF,27,8.2,10m,0.1941
08/04/2024,plateC_HF_50m_15,plateC,2.312,HF,27,8.2,10m,0.178
08/04/2025,plateB_NF_27C_15,plateB,5.768,NF,27,8.2,10m,0.1778
11/06/2024,plate2_10b,plate 2,2.337,HF,27,8.2,10m,0.1712
08/04/2025,plateA_HF_27C_8,plateA,1.325,HF,27,8.2,10m,0.1349
08/04/2025,plateA_HF_27C_5,plateA,4.281,HF,27,8.2,10m,0.1345
08/04/2025,plateA_HF_27C_1,plateA,1.292,HF,27,8.2,10m,0.1319
08/04/2025,plateA_HF_27C_9,plateA,1.89,HF,27,8.2,10m,0.1037
08/04/2025,plateB_NF_27C_17,plateB,2.596,NF,27,8.2,10m,0.0966
08/04/2025,plateB_NF_27C_1,plateB,2.573,NF,27,8.2,10m,0.0881
11/06/2024,plate2_10a,plate 2,3.774,HF,27,8.2,10m,0.0876
08/04/2025,plateA_HF_27C_10,plateA,3.03,HF,27,8.2,10m,0.0748
08/04/2025,plateA_HF_27C_4,plateA,4.247,HF,27,8.2,10m,0.0739
08/04/2025,plateB_NF_27C_12,plateB,2.121,NF,27,8.2,10m,0.0732
08/04/2025,plateB_NF_27C_14,plateB,4.19,NF,27,8.2,10m,0.0542
08/04/2025,plateB_NF_27C_16,plateB,4.729,NF,27,8.2,10m,0.0533
08/04/2025,plateA_HF_27C_2,plateA,6.021,HF,27,8.2,10m,0.0498
08/04/2024,plateD_NF_50m_4,plateD,3.123,NF,27,8.2,10m,0.0434
08/04/2025,plateB_NF_27C_11,plateB,1.157,NF,27,8.2,10m,0.0422
08/04/2025,plateB_NF_27C_7,plateB,2.416,NF,27,8.2,10m,0.025
08/04/2025,plateB_HF_27C_1,plateB,1.415,HF,27,8.2,10m,0.0205
08/04/2025,plateB_NF_27C_2,plateB,4.31,NF,27,8.2,10m,0.019
08/04/2024,plateC_HF_50m_10,plateC,1.534,HF,27,8.2,10m,0.0164
08/04/2025,plateB_NF_27C_3,plateB,3.536,NF,27,8.2,10m,0.0075
08/04/2024,plateD_NF_50m_1,plateD,1.639,NF,27,8.2,10m,0.006
08/04/2025,plateC_NF_27C_1,plateC,1.575,NF,27,8.2,10m,0.0008
11/06/2024,plate3_22a,plate 3,2.046,HF,32,8.2,10m,0.898
11/06/2024,Plate3_24a,plate 3,1.335,NF,32,8.2,10m,0.8935
11/06/2024,plate1_66b,plate 1,4.076,HF,32,8.2,10m,0.4957
11/06/2024,plate3_68b,plate 3,0.854,PF,32,8.2,10m,0.4834
11/06/2024,plate3_68a,plate 3,3.679,PF,32,8.2,10m,0.4193
11/06/2024,plate2_20a,plate 2,2.251,PF,32,8.2,10m,0.372
11/06/2024,plate3_24b,plate 3,2.641,NF,32,8.2,10m,0.3695
11/06/2024,plate3_68d,plate 3,5.389,PF,32,8.2,10m,0.3401
11/06/2024,plate1_66c,plate 1,1.416,HF,32,8.2,10m,0.3299
11/06/2024,plate2_61b,plate 2,2.295,HF,32,8.2,10m,0.3
11/06/2024,plate1_23a,plate 1,3.323,PF,32,8.2,10m,0.2987
11/06/2024,plate1_66a,plate 1,1.843,HF,32,8.2,10m,0.2311
11/06/2024,plate3_68c,plate 3,3.476,PF,32,8.2,10m,0.1343
11/06/2024,plate1_25a,plate 1,3.492,HF,32,8.2,10m,0.1197
08/04/2025,plateA_HF_32C_2,plateA,1.923,HF,32,8.2,10m,0.0958
11/06/2024,plate2_61a,plate 2,3.408,HF,32,8.2,10m,0.063
08/04/2025,plateA_NF_32C_5,plateA,2.259,NF,32,8.2,10m,0.0622
08/04/2025,plateA_HF_32C_1,plateA,1.9,HF,32,8.2,10m,0.0584
08/04/2025,plateA_NF_32C_2,plateA,2.377,NF,32,8.2,10m,0.051
08/04/2025,plateA_NF_32C_3,plateA,3.696,NF,32,8.2,10m,0.048
08/04/2025,plateA_NF_32C_7,plateA,4.184,NF,32,8.2,10m,0.0474
11/06/2024,plate2_61c,plate 2,5.048,HF,32,8.2,10m,0.0411
08/04/2025,plateA_NF_32C_4,plateA,3.187,NF,32,8.2,10m,0.041
08/04/2025,plateA_NF_32C_1,plateA,4.09,NF,32,8.2,10m,0.04
08/04/2025,plateA_NF_32C_6,plateA,5.527,NF,32,8.2,10m,0.0375
